image_id,pred_obj,true_obj,iou,occolusion_ratio
000000,27633,21.0,0.8066,Medium
000000,27631,25.0,0.8189,None
000000,27621,17.0,0.9057,Light
000000,27626,20.0,0.9348,None
000000,27628,26.0,0.7844,Medium
000000,27625,27.0,0.8973,None
000000,27624,28.0,0.8883,None
000000,27622,31.0,0.8557,None
000000,27629,16.0,0.9289,None
000009,33529,27.0,0.9412,Medium
000009,33528,0.0,0.0,Medium
000022,9612,34.0,0.7365,Medium
000022,9611,16.0,0.7227,Medium
000022,9608,14.0,0.8166,Light
000022,9607,26.0,0.9149,None
000022,9606,42.0,0.7215,Light
000022,9605,32.0,0.9336,None
000022,9604,12.0,0.8941,Light
000022,9610,33.0,0.645,Medium
000047,3588,7.0,0.9174,None
000047,3587,10.0,0.9202,Light
000047,3589,23.0,0.892,None
000047,3586,18.0,0.8949,None
000047,3585,17.0,0.8439,None
000047,3583,9.0,0.9108,Light
000047,3590,22.0,0.6247,Light
000047,3584,24.0,0.863,None
000047,3582,14.0,0.861,None
000054,17367,28.0,0.8801,Light
000054,17365,27.0,0.9645,None
000054,17366,25.0,0.7946,Light
000073,13718,38.0,0.9251,Light
000073,13717,35.0,0.9438,Light
000073,13720,29.0,0.8266,Light
000073,13722,26.0,0.6901,Light
000073,13719,39.0,0.7972,Light
000086,28315,45.0,0.74,Light
000086,28309,41.0,0.8552,None
000086,28310,33.0,0.9516,None
000086,28311,34.0,0.8648,Light
000086,28313,0.0,0.0,Light
000086,28316,39.0,0.7526,Light
000086,28319,32.0,0.5816,Medium
000086,28318,42.0,0.8413,None
000092,20028,10.0,0.8349,None
000092,20026,16.0,0.9583,None
000092,20024,17.0,0.8977,Light
000097,30720,16.0,0.8795,None
000097,30717,0.0,0.0,Medium
000097,30718,23.0,0.9445,Light
000097,30719,19.0,0.9304,None
000097,30724,24.0,0.7471,Medium
000097,30726,21.0,0.9339,None
000112,33539,20.0,0.2931,None
000115,7604,49.0,0.9161,Light
000115,7603,48.0,0.9105,Light
000115,7607,32.0,0.9463,None
000115,7606,63.0,0.9208,None
000115,7605,35.0,0.9447,None
000121,5921,15.0,0.8723,Light
000121,5920,19.0,0.9269,Light
000121,5924,22.0,0.7491,None
000121,5932,13.0,0.5463,Heavy
000121,5927,16.0,0.494,Light
000129,28473,18.0,0.0674,Light
000129,28469,28.0,0.9001,Light
000129,28468,26.0,0.7892,None
000129,28467,25.0,0.787,None
000129,28466,16.0,0.8794,Light
000129,28465,24.0,0.8716,None
000129,28464,32.0,0.9355,None
000129,28463,23.0,0.9008,None
000129,28471,17.0,0.2437,Undefined
