image_id,tp,fp,fn,tn,precision,recall,accuracy
000000,8,1,4,22,0.889,0.667,0.857
000009,1,1,2,27,0.5,0.333,0.903
000022,8,0,3,34,1.0,0.727,0.933
000047,8,1,3,14,0.889,0.727,0.846
000054,3,0,1,29,1.0,0.75,0.97
000073,4,1,9,29,0.8,0.308,0.767
000086,6,2,6,36,0.75,0.5,0.84
000092,3,0,5,16,1.0,0.375,0.792
000097,4,2,1,19,0.667,0.8,0.885
000112,0,1,6,19,0.0,0.0,0.731
000115,5,0,11,57,1.0,0.312,0.849
000121,4,1,8,12,0.8,0.333,0.64
000129,6,3,4,25,0.667,0.6,0.816
000135,1,0,0,18,1.0,1.0,1.0
000154,3,1,4,36,0.75,0.429,0.886
000157,6,1,1,37,0.857,0.857,0.956
000172,2,1,1,38,0.667,0.667,0.952
000204,3,1,5,20,0.75,0.375,0.793
000243,1,1,0,27,0.5,1.0,0.966
000250,6,1,1,31,0.857,0.857,0.949
000259,9,2,30,11,0.818,0.231,0.385
000262,7,2,2,32,0.778,0.778,0.907
000282,4,3,13,34,0.571,0.235,0.704
000285,2,1,4,18,0.667,0.333,0.8
000327,2,1,3,22,0.667,0.4,0.857
000347,3,1,6,17,0.75,0.333,0.741
000369,3,0,2,12,1.0,0.6,0.882
000374,4,1,2,22,0.8,0.667,0.897
000377,2,0,1,24,1.0,0.667,0.963
000385,9,1,7,22,0.9,0.562,0.795
000386,4,1,3,36,0.8,0.571,0.909
000388,2,2,3,6,0.5,0.4,0.615
000431,5,0,3,15,1.0,0.625,0.87
000439,8,1,9,16,0.889,0.471,0.706
000467,1,0,5,35,1.0,0.167,0.878
000475,0,2,5,36,0.0,0.0,0.837
000479,6,5,5,11,0.545,0.545,0.63
000484,3,1,0,11,0.75,1.0,0.933
000496,6,0,10,23,1.0,0.375,0.744
000499,5,0,1,13,1.0,0.833,0.947
000513,7,1,4,13,0.875,0.636,0.8
000518,3,2,7,17,0.6,0.3,0.69
000519,2,0,4,31,1.0,0.333,0.892
000523,3,1,1,16,0.75,0.75,0.905
000525,5,0,12,14,1.0,0.294,0.613
