,image_id,tp,fp,fn,precision,recall
0,012120,5,1,24,0.833,0.172
1,011386,7,1,14,0.875,0.333
2,001460,4,1,15,0.8,0.211
3,034554,10,0,7,1.0,0.588
4,025321,4,0,8,1.0,0.333
5,010229,12,2,27,0.857,0.308
6,015456,13,4,48,0.765,0.213
7,012318,2,0,6,1.0,0.25
8,042894,13,4,11,0.765,0.542
9,047619,1,1,12,0.5,0.077
10,033896,3,0,15,1.0,0.167
11,047341,7,0,6,1.0,0.538
12,027717,10,0,18,1.0,0.357
13,015223,3,0,21,1.0,0.125
14,017172,13,1,27,0.929,0.325
15,007097,0,2,2,0.0,0.0
16,037720,3,2,6,0.6,0.333
17,041365,1,0,5,1.0,0.167
18,028082,11,1,38,0.917,0.224
19,017222,5,0,10,1.0,0.333
20,008859,10,0,7,1.0,0.588
21,037350,1,1,6,0.5,0.143
22,009633,4,1,12,0.8,0.25
23,011003,5,0,20,1.0,0.2
24,002438,14,2,13,0.875,0.519
25,033767,1,2,4,0.333,0.2
26,045102,10,0,13,1.0,0.435
27,023227,6,0,18,1.0,0.25
28,043301,3,1,15,0.75,0.167
29,011629,2,1,6,0.667,0.25
30,002751,7,1,19,0.875,0.269
31,042497,9,3,20,0.75,0.31
32,036417,10,7,30,0.588,0.25
33,021334,4,1,20,0.8,0.167
34,021082,9,5,16,0.643,0.36
35,035608,5,3,12,0.625,0.294
36,031597,5,5,37,0.5,0.119
37,040527,3,0,6,1.0,0.333
38,005228,3,1,6,0.75,0.333
39,006689,9,0,14,1.0,0.391
40,029490,8,2,15,0.8,0.348
41,046119,7,6,10,0.538,0.412
42,017957,5,2,11,0.714,0.312
43,048503,2,0,13,1.0,0.133
44,000386,7,4,10,0.636,0.412
45,009459,8,0,8,1.0,0.5
46,028866,2,1,6,0.667,0.25
47,002539,5,0,20,1.0,0.2
48,015564,4,1,5,0.8,0.444
49,015670,9,5,30,0.643,0.231
50,022185,0,1,0,0.0,0.0
51,033702,8,3,16,0.727,0.333
52,048084,8,4,18,0.667,0.308
53,040854,5,0,20,1.0,0.2
54,006002,8,1,17,0.889,0.32
55,033512,9,3,15,0.75,0.375
56,030034,2,0,11,1.0,0.154
57,003354,20,3,35,0.87,0.364
58,019036,5,1,12,0.833,0.294
59,004405,3,2,20,0.6,0.13
60,013093,2,0,8,1.0,0.2
61,011035,18,0,14,1.0,0.562
62,042773,2,1,12,0.667,0.143
63,017056,2,2,3,0.5,0.4
64,003850,4,1,27,0.8,0.129
65,014292,16,0,13,1.0,0.552
66,027100,2,1,18,0.667,0.1
67,010168,4,0,0,1.0,1.0
68,026419,1,1,11,0.5,0.083
69,003122,0,6,8,0.0,0.0
70,032415,6,1,20,0.857,0.231
71,037660,7,2,21,0.778,0.25
72,040093,10,2,29,0.833,0.256
73,030849,17,3,47,0.85,0.266
74,026717,6,3,57,0.667,0.095
75,046078,2,0,2,1.0,0.5
76,016001,17,2,25,0.895,0.405
77,036533,1,0,15,1.0,0.062
78,037011,3,1,8,0.75,0.273
79,017211,9,0,18,1.0,0.333
80,006448,8,0,17,1.0,0.32
81,022432,6,3,18,0.667,0.25
82,018382,6,0,9,1.0,0.4
