,image_id,tp,fp,fn,precision,recall
0,012120,5,1,24,0.833,0.172
1,011386,4,4,17,0.5,0.19
2,001460,3,2,16,0.6,0.158
3,034554,3,7,13,0.3,0.187
4,025321,3,1,9,0.75,0.25
5,010229,5,9,33,0.357,0.132
6,015456,7,10,54,0.412,0.115
7,012318,2,0,6,1.0,0.25
8,042894,8,9,16,0.471,0.333
9,047619,1,1,12,0.5,0.077
10,033896,3,0,15,1.0,0.167
11,047341,6,1,7,0.857,0.462
12,027717,3,7,25,0.3,0.107
13,015223,2,1,22,0.667,0.083
14,017172,8,6,32,0.571,0.2
15,007097,0,2,2,0.0,0.0
16,037720,3,2,6,0.6,0.333
17,041365,0,1,6,0.0,0.0
18,028082,5,7,44,0.417,0.102
19,017222,4,1,11,0.8,0.267
20,008859,6,4,10,0.6,0.375
21,037350,1,1,6,0.5,0.143
22,009633,2,3,14,0.4,0.125
23,011003,4,1,21,0.8,0.16
24,002438,6,10,21,0.375,0.222
25,033767,1,2,4,0.333,0.2
26,045102,7,3,15,0.7,0.318
27,023227,5,1,19,0.833,0.208
28,043301,2,2,16,0.5,0.111
29,011629,1,2,7,0.333,0.125
30,002751,6,2,20,0.75,0.231
31,042497,4,8,25,0.333,0.138
32,036417,6,11,34,0.353,0.15
33,021334,2,3,22,0.4,0.083
34,021082,8,6,17,0.571,0.32
35,035608,4,4,13,0.5,0.235
36,031597,3,7,39,0.3,0.071
37,040527,3,0,6,1.0,0.333
38,005228,3,1,6,0.75,0.333
39,006689,5,4,18,0.556,0.217
40,029490,8,2,15,0.8,0.348
41,046119,3,10,14,0.231,0.176
42,017957,2,5,14,0.286,0.125
43,048503,2,0,13,1.0,0.133
44,000386,4,7,13,0.364,0.235
45,009459,1,7,15,0.125,0.062
46,028866,0,3,8,0.0,0.0
47,002539,4,1,21,0.8,0.16
48,015564,3,2,6,0.6,0.333
49,015670,5,9,34,0.357,0.128
50,022185,0,1,0,0.0,0.0
51,033702,3,8,21,0.273,0.125
52,048084,5,7,21,0.417,0.192
53,040854,5,0,20,1.0,0.2
54,006002,4,5,21,0.444,0.16
55,033512,6,6,18,0.5,0.25
56,030034,1,1,12,0.5,0.077
57,003354,15,8,40,0.652,0.273
58,019036,3,3,14,0.5,0.176
59,004405,2,3,21,0.4,0.087
60,013093,2,0,8,1.0,0.2
61,011035,11,7,21,0.611,0.344
62,042773,1,2,13,0.333,0.071
63,017056,1,3,4,0.25,0.2
64,003850,3,2,28,0.6,0.097
65,014292,6,10,23,0.375,0.207
66,027100,1,2,19,0.333,0.05
67,010168,4,0,0,1.0,1.0
68,026419,1,1,11,0.5,0.083
69,003122,0,6,8,0.0,0.0
70,032415,4,3,22,0.571,0.154
71,037660,3,6,25,0.333,0.107
72,040093,9,3,30,0.75,0.231
73,030849,6,14,57,0.3,0.095
74,026717,2,7,61,0.222,0.032
75,046078,2,0,2,1.0,0.5
76,016001,7,12,35,0.368,0.167
77,036533,0,1,16,0.0,0.0
78,037011,3,1,8,0.75,0.273
79,017211,8,1,19,0.889,0.296
80,006448,6,2,19,0.75,0.24
81,022432,3,6,21,0.333,0.125
82,018382,3,3,12,0.5,0.2
83,014025,12,6,28,0.667,0.3
84,030341,5,3,19,0.625,0.208
85,033337,1,8,28,0.111,0.034
86,037973,6,2,10,0.75,0.375
87,029708,4,6,8,0.4,0.333
88,041051,1,0,0,1.0,1.0
89,015081,9,10,30,0.474,0.231
90,045270,1,0,2,1.0,0.333
91,031325,1,2,24,0.333,0.04
92,030198,2,4,41,0.333,0.047
93,026822,3,7,32,0.3,0.086
94,006465,4,4,13,0.5,0.235
95,036535,1,4,10,0.2,0.091
96,008565,1,2,16,0.333,0.059
97,005093,0,1,4,0.0,0.0
98,020564,0,2,2,0.0,0.0
99,012747,2,0,14,1.0,0.125
100,018003,5,1,9,0.833,0.357
101,034162,1,2,15,0.333,0.062
102,029084,2,4,27,0.333,0.069
103,035659,2,6,10,0.25,0.167
104,046121,3,8,23,0.273,0.115
105,017599,2,2,14,0.5,0.125
106,046949,6,6,21,0.5,0.222
107,018153,3,0,3,1.0,0.5
108,023951,1,0,13,1.0,0.071
109,038739,6,14,36,0.3,0.143
110,001555,1,5,50,0.167,0.02
111,021246,4,11,28,0.267,0.125
112,044281,7,3,19,0.7,0.269
113,039355,2,3,15,0.4,0.118
114,032925,2,7,36,0.222,0.053
115,032745,4,1,15,0.8,0.211
116,033717,5,5,13,0.5,0.278
117,017797,2,1,13,0.667,0.133
118,030752,7,4,8,0.636,0.467
119,036842,3,1,7,0.75,0.3
120,033014,2,0,15,1.0,0.118
121,027399,6,3,8,0.667,0.429
122,005212,8,9,60,0.471,0.118
123,031601,1,0,2,1.0,0.333
124,005339,2,3,9,0.4,0.182
125,023550,4,4,18,0.5,0.182
126,014821,5,3,5,0.625,0.5
127,046010,4,3,7,0.571,0.364
128,009491,0,1,5,0.0,0.0
129,044884,1,2,4,0.333,0.2
130,043227,2,5,13,0.286,0.133
131,031678,4,5,9,0.444,0.308
132,031691,1,4,24,0.2,0.04
133,018176,6,6,12,0.5,0.333
134,012627,4,4,17,0.5,0.19
135,049132,2,2,7,0.5,0.222
136,003172,4,8,26,0.333,0.133
137,011905,1,5,19,0.167,0.05
138,020331,5,1,8,0.833,0.385
139,049653,1,0,2,1.0,0.333
140,002042,2,12,37,0.143,0.051
141,013590,1,5,3,0.167,0.25
142,005786,8,0,17,1.0,0.32
143,040276,4,3,15,0.571,0.211
144,049417,0,4,8,0.0,0.0
145,032519,4,0,15,1.0,0.211
146,039095,0,1,18,0.0,0.0
147,009712,3,4,9,0.429,0.25
148,011901,3,2,9,0.6,0.25
149,004258,1,2,7,0.333,0.125
150,015593,4,3,19,0.571,0.174
151,033908,3,1,15,0.75,0.167
152,042375,4,5,18,0.444,0.182
153,003066,4,3,13,0.571,0.235
154,014573,1,3,20,0.25,0.048
155,030935,4,0,25,1.0,0.138
156,038647,2,10,21,0.167,0.087
157,033033,5,5,33,0.5,0.132
158,008843,10,6,9,0.625,0.526
159,001020,4,0,7,1.0,0.364
160,012157,3,2,13,0.6,0.187
161,041226,3,3,24,0.5,0.111
162,023726,2,3,9,0.4,0.182
163,009767,3,2,8,0.6,0.273
164,021223,5,8,21,0.385,0.192
165,002199,8,2,17,0.8,0.32
166,032023,2,0,1,1.0,0.667
167,022294,1,0,1,1.0,0.5
168,015131,3,0,9,1.0,0.25
169,047823,4,0,0,1.0,1.0
170,008264,5,0,46,1.0,0.098
171,007435,5,1,19,0.833,0.208
172,040122,5,6,23,0.455,0.179
173,007011,3,2,13,0.6,0.187
174,012483,0,3,6,0.0,0.0
175,001148,6,2,29,0.75,0.171
176,041682,2,5,15,0.286,0.118
177,028984,5,3,21,0.625,0.192
178,044189,3,3,10,0.5,0.231
179,023112,2,5,8,0.286,0.2
180,012308,10,7,28,0.588,0.263
181,011958,5,5,16,0.5,0.238
182,039119,3,1,22,0.75,0.12
183,009379,6,8,18,0.429,0.25
184,027054,4,3,13,0.571,0.235
185,002527,4,8,11,0.333,0.267
186,017945,2,1,6,0.667,0.25
187,009653,3,6,23,0.333,0.115
188,010625,1,0,5,1.0,0.167
189,013368,2,2,18,0.5,0.1
190,032402,5,7,16,0.417,0.238
191,029534,3,4,18,0.429,0.143
192,028345,6,14,33,0.3,0.154
193,006563,3,3,31,0.5,0.088
194,015146,5,5,19,0.5,0.208
195,030431,1,6,29,0.143,0.033
196,010994,2,0,4,1.0,0.333
197,030323,7,7,16,0.5,0.304
198,036230,4,0,10,1.0,0.286
199,024315,0,1,9,0.0,0.0
200,043218,3,3,26,0.5,0.103
