image_id,pred_obj,true_obj,iou,occolusion_ratio
000002,6888,51,0.7342,Medium
000019,17966,14,0.9219,None
000019,17967,10,0.7556,Light
000019,17968,20,0.8316,Light
000028,29526,35,0.8766,None
000028,29529,42,0.4959,Medium
000030,13533,28,0.8341,None
000030,13534,33,0.918,None
000031,4513,23,0.3907,Medium
000031,4511,28,0.8888,None
000031,4510,18,0.7814,None
000031,4509,20,0.872,Light
000031,4514,26,0.444,Heavy
000031,4512,32,0.6874,Medium
000056,21077,38,0.9194,Light
000056,21078,31,0.8924,None
000056,21079,33,0.8489,Light
000059,13295,24,0.2895,Heavy
000059,13288,50,0.3809,Heavy
000059,13287,30,0.66,VeryHeavy
000059,13286,46,0.5533,VeryHeavy
000059,13285,15,0.6371,Heavy
000059,13293,18,0.3395,VeryHeavy
000059,13284,20,0.6008,Heavy
000067,8474,12,0.7803,Light
000067,8475,18,0.8383,None
000067,8476,15,0.1965,Heavy
000067,8478,23,0.3628,Medium
000071,15927,21,0.2645,Heavy
000071,15923,9,0.9142,None
000071,15924,27,0.8212,Light
000071,15925,14,0.9233,None
000071,15932,30,0.8122,Medium
000071,15931,15,0.5271,Medium
000071,15930,11,0.2818,Medium
000072,2734,30,0.9158,Light
000072,2731,44,0.8974,None
000072,2740,42,0.4334,Light
000082,18018,19,0.8783,None
000082,18019,23,0.7412,Light
000082,18020,21,0.8916,Light
000082,18021,25,0.9358,Medium
000088,30987,26,0.9446,None
000088,30991,34,0.8933,None
000098,14850,42,0.7359,Light
000098,14853,39,0.8229,Medium
000098,14848,31,0.6657,Heavy
000098,14847,49,0.8463,Light
000098,14845,48,0.9234,None
000098,14844,34,0.9043,Light
000104,17617,22,0.8212,None
000104,17618,21,0.882,None
000116,17063,9,0.8036,None
000116,17062,5,0.9308,None
000116,17061,8,0.887,None
000116,17060,7,0.9839,None
000123,11434,17,0.8918,None
000123,11433,16,0.7571,Medium
000123,11432,18,0.6608,None
000123,11431,14,0.8516,None
000130,20899,26,0.6401,Medium
000146,32959,29,0.9343,None
000146,32961,28,0.4396,Medium
000146,32962,17,0.2096,Light
000146,32958,23,0.9222,None
000146,32957,19,0.9391,Light
000148,6678,45,0.8643,None
000148,6670,35,0.9154,Light
000148,6671,34,0.9203,None
000148,6672,32,0.8405,Light
000148,6673,33,0.9068,None
000148,6674,25,0.9189,None
000148,6675,47,0.3151,Light
000148,6676,41,0.79,None
000162,29474,38,0.8382,Light
000162,29476,25,0.8661,Light
000162,29477,26,0.4857,Medium
000162,29479,32,0.8184,Light
000162,29481,16,0.671,Light
000162,29473,30,0.9071,None
000170,1504,25,0.9194,None
000170,1502,23,0.9433,None
000170,1503,29,0.8675,None
000170,1508,28,0.2324,None
000170,1509,20,0.9086,Light
000170,1510,16,0.6868,Light
000170,1511,22,0.8794,None
000170,1506,21,0.8588,Medium
000173,1869,30,0.5318,Heavy
000173,1850,12,0.9321,None
000173,1862,26,0.6972,Heavy
000173,1868,13,0.8547,Light
000173,1865,18,0.7254,VeryHeavy
000173,1864,31,0.7628,Heavy
000173,1852,29,0.6628,Light
000173,1853,9,0.5559,Medium
000173,1856,23,0.4952,Heavy
000173,1849,34,0.662,Heavy
000173,1861,7,0.6668,Heavy
000173,1846,17,0.8725,None
000173,1845,32,0.9167,None
000173,1857,28,0.7172,Medium
000173,1858,10,0.4229,Medium
000178,19877,19,0.9191,None
000178,19891,41,0.9086,Light
000178,19878,33,0.916,None
000178,19889,31,0.912,Heavy
000178,19886,30,0.6923,Light
000178,19880,27,0.9016,None
000178,19879,15,0.8659,Light
000178,19898,32,0.8336,Light
000189,680,23,0.621,Medium
000189,682,18,0.4192,Heavy
000189,683,22,0.7974,Light
000189,684,20,0.7895,Light
000189,679,24,0.3888,Heavy
000189,681,17,0.8344,None
000189,685,16,0.8898,None
000206,7076,22,0.466,VeryHeavy
000206,7067,21,0.8491,Light
000206,7068,27,0.8887,Light
000206,7069,25,0.9345,None
000206,7074,31,0.266,Heavy
000206,7073,19,0.9692,None
000206,7071,20,0.828,Light
000206,7070,24,0.8872,Light
000209,15275,27,0.9647,None
000209,15276,26,0.8935,Light
000209,15277,19,0.874,None
000233,9641,30,0.8572,None
000233,9638,28,0.7996,Light
000233,9639,26,0.6907,Light
000233,9640,44,0.7321,Light
000233,9642,42,0.4913,Heavy
000233,9643,23,0.8377,Light
000233,9644,37,0.8783,None
000236,27901,32,0.8927,None
000236,27902,34,0.8809,Light
000255,31603,34,0.6341,Heavy
000255,31604,54,0.3333,Medium
000255,31594,43,0.903,Light
000255,31601,49,0.9032,Light
000255,31600,32,0.6827,Medium
000255,31598,45,0.5948,Medium
000255,31597,38,0.8186,Light
000255,31596,36,0.9202,Light
000255,31593,47,0.9261,None
000255,31595,46,0.8782,None
000306,27781,9,0.9644,Heavy
000317,10069,19,0.9673,None
000317,10070,34,0.9381,Light
000317,10074,18,0.7474,Light
000317,10075,21,0.9403,Medium
000317,10076,24,0.7356,Medium
000317,10077,16,0.6757,Medium
000317,10078,17,0.6443,Light
000319,29349,22,0.9073,Light
000319,29350,26,0.8806,Light
000319,29348,25,0.8817,Light
000319,29354,29,0.5552,Light
000322,31189,17,0.5645,Light
000322,31187,15,0.454,Heavy
000322,31185,14,0.454,Heavy
000322,31184,23,0.6407,Medium
000322,31183,22,0.6563,Medium
000322,31182,8,0.7601,Light
000322,31180,19,0.8844,None
000322,31179,11,0.9514,None
000322,31192,13,0.5918,Light
000328,3379,17,0.9057,Light
000328,3384,16,0.6968,Light
000328,3380,19,0.8375,None
000328,3382,10,0.7636,Light
000340,17057,38,0.5536,Light
000340,17056,40,0.4926,Medium
000340,17054,39,0.4209,Light
000340,17049,45,0.9116,None
000340,17050,34,0.8439,Light
000340,17051,44,0.9256,None
000340,17052,41,0.8857,None
000340,17053,35,0.6187,Medium
000344,13587,17,0.8341,None
000344,13590,12,0.9053,None
000344,13591,16,0.5097,Heavy
000354,29546,6,0.6099,Medium
000354,29544,2,0.6525,Medium
000354,29542,4,0.68,Medium
000354,29540,11,0.5967,Medium
000354,29539,8,0.9099,Light
000354,29536,9,0.8697,Light
000357,19043,28,0.9371,None
000366,2554,15,0.8344,Light
000366,2557,7,0.6258,Light
000366,2559,10,0.9248,Light
000366,2552,13,0.8289,Light
000366,2551,20,0.6856,Heavy
000366,2547,23,0.7476,Light
000366,2548,6,0.9359,Light
000366,2550,14,0.7515,Light
000366,2549,22,0.8816,Light
000399,17519,41,0.842,Light
000399,17520,31,0.8722,None
000399,17521,32,0.9355,None
000399,17522,33,0.8406,None
000399,17526,36,0.8324,Light
000423,27021,49,0.872,Light
000423,27020,27,0.8233,None
000423,27022,50,0.8821,Light
000423,27027,42,0.8832,Light
000423,27024,54,0.7612,Light
000423,27034,35,0.4154,Heavy
000434,16074,14,0.9653,None
000434,16075,11,0.8141,Light
000434,16078,9,0.4323,None
000435,11143,44,0.7761,Medium
000435,11144,35,0.791,Light
000435,11145,41,0.2151,Heavy
000435,11151,52,0.8626,None
000435,11152,48,0.2761,Light
000435,11150,50,0.7414,Light
000435,11147,33,0.5834,Light
000435,11146,32,0.5782,Light
000441,54,19,0.5118,Light
000441,52,22,0.9321,None
000441,51,20,0.7989,None
000453,27125,19,0.9367,None
000453,27128,25,0.4429,Heavy
000453,27123,12,0.9317,None
000453,27124,14,0.9321,Light
000453,27132,22,0.3604,VeryHeavy
000453,27127,11,0.614,Medium
000458,5179,27,0.9023,None
000458,5180,18,0.8886,None
000458,5186,20,0.764,VeryHeavy
000458,5185,26,0.5958,VeryHeavy
000458,5181,13,0.8563,None
000458,5182,17,0.8426,None
000466,21538,15,0.8759,Light
000466,21537,13,0.7941,Medium
000466,21536,24,0.9511,None
000466,21535,17,0.9626,None
000468,10816,9,0.879,None
000468,10815,0,0.0,Medium
000469,31696,19,0.8322,Light
000469,31693,20,0.8789,None
000471,3815,12,0.9202,None
000471,3813,19,0.8944,None
000471,3814,16,0.6463,Light
000472,31930,8,0.6298,Medium
000472,31932,29,0.9009,Light
000472,31933,9,0.6924,Light
000472,31935,28,0.2638,Medium
000472,31929,12,0.5083,Heavy
000472,31923,21,0.7669,Medium
000472,31924,15,0.8203,Medium
000472,31925,28,0.8384,Medium
000472,31931,6,0.4784,Heavy
000472,31934,30,0.8355,Medium
000472,31927,33,0.9085,None
000472,31928,10,0.9204,None
000472,31926,32,0.5561,Medium
000494,9014,19,0.6796,Medium
000494,9011,20,0.8153,Light
000494,9010,13,0.8489,Light
000494,9009,16,0.8953,None
000494,9017,14,0.4886,Heavy
000500,18907,24,0.9293,None
000500,18906,15,0.9098,None
000500,18911,16,0.7237,Light
000500,18910,26,0.8454,Light
000500,18915,30,0.2911,Light
000500,18905,18,0.8781,None
000500,18908,22,0.7608,Light
000500,18916,20,0.8764,None
000500,18917,19,0.8238,Light
000500,18918,17,0.6372,Medium
000500,18919,28,0.5988,VeryHeavy
000500,18909,25,0.9385,Light
000502,13725,23,0.901,None
000502,13721,32,0.9046,Light
000502,13718,27,0.8687,None
000502,13719,33,0.9366,None
000502,13723,29,0.7253,Light
000512,22376,14,0.2374,Heavy
000512,22364,6,0.8345,None
000512,22365,5,0.5386,Light
000512,22372,4,0.6282,VeryHeavy
000512,22371,12,0.5437,Heavy
000512,22368,16,0.7828,Medium
000512,22367,13,0.7237,Medium
000512,22366,11,0.7192,Medium
000524,12838,31,0.8761,Light
000526,24214,12,0.9398,None
000526,24215,15,0.8024,Light
000526,24216,10,0.8554,Light
000526,24217,9,0.1733,VeryHeavy
000526,24218,13,0.9125,None
000528,14497,17,0.9162,None
000528,14500,7,0.7612,Light
000531,25125,17,0.7398,Light
000531,25122,16,0.8892,Light
000541,169,10,0.9398,None
000541,170,16,0.908,Light
000541,167,12,0.9515,None
