image_id,tp,fp,fn,tn,precision,recall,accuracy
000002,1,0,1,57,1.0,0.5,0.983
000019,3,0,2,16,1.0,0.6,0.905
000028,1,1,12,38,0.5,0.077,0.75
000030,2,0,4,31,1.0,0.333,0.892
000031,4,2,8,24,0.667,0.333,0.737
000056,3,0,6,30,1.0,0.333,0.846
000059,4,3,15,33,0.571,0.211,0.673
000067,2,2,13,14,0.5,0.133,0.516
000071,3,4,6,23,0.429,0.333,0.722
000072,2,1,9,37,0.667,0.182,0.796
000082,4,0,1,21,1.0,0.8,0.962
000088,2,0,3,30,1.0,0.4,0.914
000098,5,1,5,42,0.833,0.5,0.887
000104,2,0,3,23,1.0,0.4,0.893
000116,4,0,0,16,1.0,1.0,1.0
000123,3,1,2,16,0.75,0.6,0.864
000130,1,0,2,26,1.0,0.333,0.931
000146,2,3,4,25,0.4,0.333,0.794
000148,6,2,6,37,0.75,0.5,0.843
000162,4,2,18,21,0.667,0.182,0.556
000170,6,2,3,21,0.75,0.667,0.844
000173,10,5,12,12,0.667,0.455,0.564
000178,7,1,19,19,0.875,0.269,0.565
000189,5,2,6,19,0.714,0.455,0.75
000206,5,3,4,22,0.625,0.556,0.794
000209,2,1,12,18,0.667,0.143,0.606
000233,5,2,14,26,0.714,0.263,0.66
000236,2,0,1,37,1.0,0.667,0.975
000255,7,3,9,45,0.7,0.438,0.812
000306,1,0,7,20,1.0,0.125,0.75
000317,2,5,4,28,0.286,0.333,0.769
000319,3,1,3,24,0.75,0.5,0.871
000322,5,4,7,12,0.556,0.417,0.607
000328,3,1,2,18,0.75,0.6,0.875
000340,5,3,10,35,0.625,0.333,0.755
000344,2,1,2,16,0.667,0.5,0.857
000354,5,1,6,4,0.833,0.455,0.562
000357,1,0,3,25,1.0,0.25,0.897
000366,8,1,6,10,0.889,0.571,0.72
000399,5,0,4,33,1.0,0.556,0.905
000423,5,1,15,35,0.833,0.25,0.714
000434,2,1,2,12,0.667,0.5,0.824
000435,4,4,15,34,0.5,0.211,0.667
000441,2,1,2,19,0.667,0.5,0.875
000453,4,2,7,16,0.667,0.364,0.69
000458,6,0,4,21,1.0,0.6,0.871
000466,4,0,8,19,1.0,0.333,0.742
