,image_id,tp,fp,fn,precision,recall
0,032353,5,10,18,0.333,0.217
1,023247,3,2,22,0.6,0.12
2,005741,7,13,20,0.35,0.259
3,005637,5,7,21,0.417,0.192
4,042080,1,3,21,0.25,0.045
5,030730,3,6,27,0.333,0.1
6,032830,2,3,8,0.4,0.2
7,022152,1,0,3,1.0,0.25
8,041160,6,6,27,0.5,0.182
9,014660,2,5,16,0.286,0.111
10,026456,3,1,32,0.75,0.086
11,038764,6,8,47,0.429,0.113
12,042344,2,10,27,0.167,0.069
13,020834,3,6,11,0.333,0.214
14,039570,5,6,24,0.455,0.172
15,034840,7,8,52,0.467,0.119
16,019985,3,9,27,0.25,0.1
17,039444,1,0,1,1.0,0.5
18,008978,1,0,4,1.0,0.2
19,008853,2,0,2,1.0,0.5
20,005043,0,3,10,0.0,0.0
21,004564,1,4,26,0.2,0.037
22,012650,2,4,14,0.333,0.125
23,014056,3,2,25,0.6,0.107
24,023590,3,3,9,0.5,0.25
25,023113,2,1,2,0.667,0.5
26,043445,0,1,3,0.0,0.0
27,048340,4,2,14,0.667,0.222
28,047310,4,5,31,0.444,0.114
29,014080,3,3,8,0.5,0.273
30,022876,11,8,31,0.579,0.262
31,039003,2,3,17,0.4,0.105
32,042462,7,5,19,0.583,0.269
33,009088,4,12,42,0.25,0.087
34,004341,7,3,34,0.7,0.171
35,041390,0,4,19,0.0,0.0
36,044471,4,11,52,0.267,0.071
37,048145,7,10,55,0.412,0.113
38,033444,9,5,22,0.643,0.29
39,040773,1,5,7,0.167,0.125
40,044818,2,0,9,1.0,0.182
41,010149,1,3,8,0.25,0.111
42,021196,2,3,1,0.4,0.667
43,048558,2,2,12,0.5,0.143
44,039240,4,7,36,0.364,0.1
45,021612,0,4,7,0.0,0.0
46,016703,1,1,5,0.5,0.167
47,015929,1,3,33,0.25,0.029
48,030717,3,1,22,0.75,0.12
49,008970,1,1,19,0.5,0.05
50,008432,7,4,15,0.636,0.318
51,045998,2,7,21,0.222,0.087
52,012687,7,10,27,0.412,0.206
53,029658,2,2,12,0.5,0.143
54,039811,3,1,6,0.75,0.333
55,022988,4,1,2,0.8,0.667
56,039437,0,1,2,0.0,0.0
57,039629,1,2,7,0.333,0.125
58,038063,2,1,1,0.667,0.667
59,007135,2,6,34,0.25,0.056
60,033810,2,4,35,0.333,0.054
61,029467,2,0,5,1.0,0.286
62,039228,4,3,10,0.571,0.286
63,018214,10,10,26,0.5,0.278
64,018954,3,3,17,0.5,0.15
65,030161,3,1,12,0.75,0.2
66,044555,4,3,16,0.571,0.2
67,011560,2,6,33,0.25,0.057
68,015849,5,1,12,0.833,0.294
69,046432,1,0,3,1.0,0.25
70,011530,1,2,6,0.333,0.143
71,032549,5,3,24,0.625,0.172
72,006888,0,6,14,0.0,0.0
73,032667,7,7,32,0.5,0.179
74,044545,4,3,27,0.571,0.129
75,036268,4,4,25,0.5,0.138
76,016033,0,3,3,0.0,0.0
77,031660,8,2,27,0.8,0.229
78,016366,10,6,22,0.625,0.312
79,014115,2,0,13,1.0,0.133
80,049559,1,2,10,0.333,0.091
81,016547,3,0,19,1.0,0.136
82,029030,5,10,21,0.333,0.192
83,030133,2,4,16,0.333,0.111
84,018568,1,2,26,0.333,0.037
85,049321,1,3,37,0.25,0.026
86,001281,5,3,13,0.625,0.278
87,046929,4,3,13,0.571,0.235
88,037947,0,1,12,0.0,0.0
89,032998,5,3,14,0.625,0.263
90,007206,1,2,13,0.333,0.071
91,042635,3,3,6,0.5,0.333
92,010110,3,1,4,0.75,0.429
93,047317,4,5,20,0.444,0.167
94,004892,4,17,42,0.19,0.087
95,024738,0,2,10,0.0,0.0
96,018786,1,2,5,0.333,0.167
97,027939,3,2,4,0.6,0.429
98,029646,1,2,21,0.333,0.045
99,004716,5,9,20,0.357,0.2
100,016933,2,1,7,0.667,0.222
101,026995,5,3,6,0.625,0.455
102,000318,9,5,33,0.643,0.214
103,040032,3,1,3,0.75,0.5
104,014844,5,2,14,0.714,0.263
105,011202,1,0,7,1.0,0.125
106,032889,3,2,6,0.6,0.333
107,003777,2,0,4,1.0,0.333
108,044679,6,3,11,0.667,0.353
109,003701,2,3,10,0.4,0.167
110,004022,3,8,29,0.273,0.094
111,042013,3,1,15,0.75,0.167
112,002253,3,15,26,0.167,0.103
113,013535,6,8,45,0.429,0.118
114,020769,1,0,15,1.0,0.062
115,049785,1,1,10,0.5,0.091
116,021096,6,4,22,0.6,0.214
117,013783,9,3,7,0.75,0.562
118,012458,1,6,21,0.143,0.045
119,046601,3,2,9,0.6,0.25
120,033944,1,0,7,1.0,0.125
121,007397,0,8,24,0.0,0.0
122,005921,5,2,12,0.714,0.294
123,015921,5,5,17,0.5,0.227
124,047769,3,2,8,0.6,0.273
125,008685,0,2,34,0.0,0.0
126,017825,6,9,30,0.4,0.167
127,027744,2,4,18,0.333,0.1
128,040467,6,3,34,0.667,0.15
129,030243,5,1,11,0.833,0.312
130,043237,0,3,7,0.0,0.0
131,007604,6,10,17,0.375,0.261
132,023866,5,9,36,0.357,0.122
133,013347,1,0,4,1.0,0.2
134,019440,5,3,6,0.625,0.455
135,021306,4,8,22,0.333,0.154
136,011903,1,0,1,1.0,0.5
137,006891,2,4,20,0.333,0.091
138,008593,1,7,15,0.125,0.062
139,031405,3,2,7,0.6,0.3
140,002697,1,13,32,0.071,0.03
141,028326,3,3,10,0.5,0.231
142,041722,9,5,41,0.643,0.18
143,011400,0,1,9,0.0,0.0
144,048686,4,5,21,0.444,0.16
145,035537,5,10,22,0.333,0.185
146,032833,1,0,12,1.0,0.077
147,004939,3,3,23,0.5,0.115
148,031152,3,7,37,0.3,0.075
149,009300,1,1,5,0.5,0.167
150,009793,3,3,8,0.5,0.273
151,027134,1,4,25,0.2,0.038
152,009492,8,9,23,0.471,0.258
153,022623,4,1,14,0.8,0.222
154,033187,3,0,1,1.0,0.75
155,034367,3,2,8,0.6,0.273
156,007297,2,0,9,1.0,0.182
157,035595,3,12,18,0.2,0.143
158,038707,9,8,23,0.529,0.281
159,041973,6,4,11,0.6,0.353
160,012130,3,1,11,0.75,0.214
161,015401,3,1,6,0.75,0.333
162,024726,3,3,20,0.5,0.13
163,024138,6,3,11,0.667,0.353
164,006142,3,3,21,0.5,0.125
165,004663,10,5,21,0.667,0.323
166,036017,5,4,14,0.556,0.263
167,013653,8,3,11,0.727,0.421
168,043822,2,1,24,0.667,0.077
169,012579,5,5,24,0.5,0.172
170,043595,3,0,16,1.0,0.158
171,002819,1,1,13,0.5,0.071
172,024187,3,7,27,0.3,0.1
173,017097,3,14,32,0.176,0.086
174,037522,3,0,23,1.0,0.115
175,043199,3,4,21,0.429,0.125
176,013219,3,0,2,1.0,0.6
177,047514,3,5,26,0.375,0.103
178,023277,2,7,17,0.222,0.105
179,048473,1,0,15,1.0,0.062
180,041804,6,3,27,0.667,0.182
181,002104,6,7,45,0.462,0.118
182,008576,10,9,24,0.526,0.294
183,013717,6,5,60,0.545,0.091
184,006441,7,1,3,0.875,0.7
185,003543,0,1,12,0.0,0.0
186,046083,4,0,8,1.0,0.333
187,048048,4,2,6,0.667,0.4
188,001621,0,2,5,0.0,0.0
189,019001,5,10,28,0.333,0.152
190,034697,6,3,12,0.667,0.333
191,042837,8,7,24,0.533,0.25
192,023937,2,3,7,0.4,0.222
193,040094,2,2,5,0.5,0.286
194,029524,7,4,19,0.636,0.269
195,044148,5,2,20,0.714,0.2
196,049787,0,1,5,0.0,0.0
197,009084,2,2,10,0.5,0.167
198,049973,2,2,5,0.5,0.286
199,012524,3,3,12,0.5,0.2
200,006064,1,7,16,0.125,0.059
201,011324,8,4,8,0.667,0.5
202,000304,4,6,40,0.4,0.091
203,049325,0,5,29,0.0,0.0
204,000463,5,1,32,0.833,0.135
205,016336,3,0,1,1.0,0.75
206,042734,3,5,11,0.375,0.214
207,047724,2,1,4,0.667,0.333
208,015116,1,0,1,1.0,0.5
209,030782,2,4,12,0.333,0.143
210,019461,3,4,16,0.429,0.158
211,000766,2,0,11,1.0,0.154
212,014872,5,9,32,0.357,0.135
213,042261,4,4,26,0.5,0.133
214,008776,1,0,14,1.0,0.067
215,028751,12,5,26,0.706,0.316
216,036732,0,1,5,0.0,0.0
217,039154,2,4,10,0.333,0.167
218,048671,2,4,4,0.333,0.333
219,041539,5,2,21,0.714,0.192
220,024642,3,4,20,0.429,0.13
221,042411,4,9,39,0.308,0.093
222,022718,4,5,4,0.444,0.5
223,033325,7,3,20,0.7,0.259
224,022731,6,9,17,0.4,0.261
225,009663,4,3,15,0.571,0.211
226,033963,6,3,22,0.667,0.214
227,011357,12,9,45,0.571,0.211
228,027761,2,3,13,0.4,0.133
229,041432,1,0,6,1.0,0.143
230,007146,1,1,3,0.5,0.25
231,036286,4,9,26,0.308,0.133
232,034083,5,14,37,0.263,0.119
233,021606,2,2,11,0.5,0.154
234,005547,5,5,26,0.5,0.161
235,006846,2,3,26,0.4,0.071
236,009844,3,2,13,0.6,0.187
237,000229,3,1,12,0.75,0.2
238,045912,3,4,16,0.429,0.158
239,031194,6,8,11,0.429,0.353
240,019925,2,8,13,0.2,0.133
241,024936,4,7,18,0.364,0.182
242,035005,2,3,15,0.4,0.118
243,001097,4,9,29,0.308,0.121
244,020039,5,9,13,0.357,0.278
245,003437,4,1,18,0.8,0.182
246,047191,3,1,13,0.75,0.187
247,032358,3,3,22,0.5,0.12
248,003404,5,3,11,0.625,0.312
249,015289,3,1,4,0.75,0.429
250,014149,4,6,19,0.4,0.174
251,013316,4,4,22,0.5,0.154
252,018254,4,1,3,0.8,0.571
253,005199,5,5,21,0.5,0.192
254,046648,4,4,16,0.5,0.2
255,034318,1,4,10,0.2,0.091
256,012454,4,1,8,0.8,0.333
257,006913,1,1,0,0.5,1.0
258,006964,5,6,16,0.455,0.238
259,003127,4,1,3,0.8,0.571
260,012279,1,2,7,0.333,0.125
261,037483,1,6,8,0.143,0.111
262,048358,1,1,18,0.5,0.053
263,018595,3,5,11,0.375,0.214
264,018978,7,2,14,0.778,0.333
265,031708,3,9,32,0.25,0.086
266,029776,2,1,6,0.667,0.25
267,040792,3,5,5,0.375,0.375
268,025652,2,3,12,0.4,0.143
269,026070,2,3,15,0.4,0.118
270,013502,2,4,7,0.333,0.222
271,046709,5,2,7,0.714,0.417
272,047355,10,5,28,0.667,0.263
273,027094,5,7,21,0.417,0.192
274,039709,3,6,17,0.333,0.15
275,033520,5,0,5,1.0,0.5
276,028484,0,1,4,0.0,0.0
277,002298,3,2,13,0.6,0.187
278,006678,5,2,17,0.714,0.227
279,045900,1,7,23,0.125,0.042
280,021028,1,2,6,0.333,0.143
281,008756,1,0,5,1.0,0.167
282,002859,0,5,13,0.0,0.0
283,042018,2,0,10,1.0,0.167
284,033036,5,3,12,0.625,0.294
285,044147,1,0,5,1.0,0.167
286,044349,1,3,28,0.25,0.034
287,040217,3,3,15,0.5,0.167
288,010624,1,5,30,0.167,0.032
289,042469,1,2,5,0.333,0.167
290,002418,2,7,47,0.222,0.041
291,023036,4,8,24,0.333,0.143
292,036776,4,2,23,0.667,0.148
293,047379,1,1,23,0.5,0.042
294,043881,8,2,19,0.8,0.296
295,038117,2,6,32,0.25,0.059
296,001804,4,0,4,1.0,0.5
297,006430,3,2,13,0.6,0.187
298,020815,0,2,16,0.0,0.0
299,045901,1,0,0,1.0,1.0
300,021022,2,1,6,0.667,0.25
301,007949,2,5,14,0.286,0.125
302,048842,4,9,33,0.308,0.108
303,038276,1,2,4,0.333,0.2
304,035567,8,10,53,0.444,0.131
305,021198,1,1,5,0.5,0.167
306,003663,2,0,18,1.0,0.1
307,013708,5,0,10,1.0,0.333
308,042711,3,0,3,1.0,0.5
309,010402,1,1,1,0.5,0.5
310,018045,0,1,8,0.0,0.0
311,020077,4,8,13,0.333,0.235
312,040423,6,0,13,1.0,0.316
313,028583,2,0,21,1.0,0.087
