image_id,time,country_code,weather,road_type,road_condition,time_of_day,num_vehicles,longitude,latitude,solar_angle_elevation
000003,1618761678.888716,0,4,0,0,0,1,21.017903112853105,52.237138923671104,14.164054874189546
000016,1619702895.776705,0,4,0,0,0,23,21.008923027371587,52.23473728854583,39.081725146451525
000038,1619703521.554263,0,4,0,0,0,16,20.991649874287642,52.24445101678926,37.729607664042796
000046,1618656216.773338,0,4,0,0,0,35,20.979635280108134,52.23730559931246,48.539388661289095
000055,1618400143.225463,0,6,0,1,0,19,20.977003828289323,52.21111472530733,45.90704800413365
000058,1618654630.44719,0,4,0,1,0,48,21.00630717995946,52.23843225049468,48.38568478271044
000063,1618828192.884347,0,2,0,0,0,14,21.004976108140145,52.216809898791865,49.252031820613965
000064,1618757815.662578,0,2,0,0,0,21,20.951729650615995,52.22703918400021,23.921036203898467
000080,1619696132.22436,0,4,0,0,0,15,21.02126936417922,52.17312691832051,50.625242027855734
000089,1618761346.776483,0,4,0,0,0,8,21.013200048142767,52.23610524491713,15.021662194073386
000110,1618763427.551199,0,4,0,0,0,28,20.971892738963515,52.237211244957535,9.790625573998241
000118,1619513950.661901,0,2,0,0,0,5,21.01576831158564,52.24686908261029,47.44629345245011
000122,1619703459.886552,0,4,0,0,0,40,20.99626634247358,52.24287377510007,37.88588010827224
000183,1619682799.89323,0,4,0,0,0,24,21.005009861750924,52.228319181971436,40.87367786465151
000195,1618504798.996552,0,6,0,0,0,24,21.024751995979845,52.18608147641364,7.695930578464967
000196,1619520830.670628,0,2,0,0,0,20,21.035880716592978,52.253877426264744,51.68186343127259
000211,1620110251.557732,0,2,0,0,0,18,20.986087828723733,52.255739741001115,31.551519679154097
000224,1618759552.884746,0,2,0,0,0,19,20.983582401602405,52.22996376634764,19.656304931434192
000235,1619514252.000383,0,2,0,0,0,10,20.988273497546174,52.24023204388006,47.86630984869147
000251,1618502950.775939,0,6,0,1,0,23,20.9756607021365,52.211262424758885,12.260346735116642
000253,1618936557.994064,0,2,0,0,0,49,20.979616236576355,52.239434574790096,9.508276006552734
000260,1619701571.553237,0,4,0,0,0,39,21.024342786660487,52.18514725885838,41.899645156463876
000265,1620139097.8922,0,4,0,0,0,11,20.968243834821504,52.22850644819251,30.324063472820363
000283,1619705062.447928,0,4,0,0,0,26,20.942829785961276,52.239276691402914,34.1880393152043
000326,1618766053.329309,0,4,0,0,0,17,20.993486817343594,52.24163706854325,3.305706161497767
000346,1618501163.00061,0,6,0,1,0,17,20.988084924488852,52.21004327179518,16.814147840804523
000375,1618655104.554977,0,4,0,0,0,13,21.015515243117235,52.220302880296146,48.522323208369244
000384,1619598232.998879,0,0,0,0,0,20,20.993880447752094,52.257584188292576,44.12863208891661
000387,1619682468.887977,0,4,0,0,0,44,20.992731603904357,52.232275977092385,40.059589396625746
000391,1618491785.666317,0,6,0,1,0,14,21.0147376169801,52.24301542065054,38.480640220840435
000398,1618654587.113256,0,4,0,1,0,12,21.00478048566154,52.2391742912507,48.3702795331876
000401,1620065425.114321,0,3,0,0,1,12,21.021164131528202,52.213645872482736,-1.0765354251235095
000422,1619632287.448179,0,1,0,0,0,11,20.98302259606476,52.22992562334713,0.6111054846678314
000443,1619704484.337808,0,4,0,0,0,28,20.977424577081436,52.240420053411505,35.54526883487733
000452,1618939113.336574,0,2,0,0,0,24,21.051605352951988,52.247321879026856,3.1802846988136935
000462,1619682665.557732,0,4,0,0,0,25,20.999861983902203,52.22728503499668,40.577866118292235
000465,1619682738.225525,0,4,0,0,0,25,21.003152868181406,52.2278475324507,40.70573878432216
000478,1619523025.107248,0,2,0,0,0,41,21.065882145972555,52.27551349482573,50.22797057760712
000483,1618503052.999817,0,6,0,0,0,29,20.98664425155188,52.21025591031984,11.987694218246702
000503,1618829153.001031,0,2,0,1,0,39,20.997524150815234,52.2353399100777,49.215334515291055
000507,1618903799.110567,0,2,0,0,0,16,21.02467145012715,52.211127686538944,35.07038527915384
000539,1618936517.560143,0,2,0,0,0,25,20.979331758126072,52.2382126370114,9.508276006552734
000548,1619632584.885696,0,1,0,0,0,21,21.004286252112305,52.234322455853324,0.016917545471770268
000563,1618491457.328909,0,6,0,1,0,6,21.021925765744907,52.23021663007881,39.13073391530328
000567,1619176976.558376,0,2,0,1,0,17,20.980356920423684,52.23722765002582,49.44192249617605
000579,1619871954.115219,0,6,0,1,0,15,21.002492181161195,52.244990256202335,46.97656771976904
000586,1620143545.10883,0,4,0,0,0,29,20.954523836397268,52.23819573268534,19.104965816959407
000595,1618900642.89347,0,2,0,0,0,5,20.97083178483267,52.20613751205325,27.739779466630708
000616,1618467115.217522,0,7,0,1,0,20,21.012354714665534,52.229714532803925,22.409263109882872
000626,1620062686.10627,0,6,0,0,0,22,21.012979871014085,52.24334249549053,5.198206472434137
000637,1619374001.998274,0,3,0,0,1,24,20.99730585368909,52.23586640023459,-2.53271329789483
000639,1619264285.890743,0,2,0,0,0,20,20.99721079174568,52.24683616877576,48.89650602812566
000643,1618936143.554128,0,4,0,0,0,23,20.95390709208345,52.23803912122947,10.428180362248582
000647,1619703465.220005,0,4,0,0,0,29,20.99540201418735,52.242589653455525,37.88588010827224
000649,1619536717.33009,0,4,0,0,0,20,20.966733287547136,52.23711004682455,22.748704557401908
