image_id,tp,fp,fn,tn,precision,recall,accuracy
000006,1,0,1,27,1.0,0.5,0.966
000012,1,0,1,20,1.0,0.5,0.955
000017,5,3,8,13,0.625,0.385,0.621
000024,1,2,4,43,0.333,0.2,0.88
000025,6,1,8,43,0.857,0.429,0.845
000027,3,1,11,16,0.75,0.214,0.613
000032,3,1,5,25,0.75,0.375,0.824
000033,2,0,3,43,1.0,0.4,0.938
000036,3,2,4,29,0.6,0.429,0.842
000037,7,4,7,37,0.636,0.5,0.8
000043,2,0,2,16,1.0,0.5,0.9
000068,4,1,5,28,0.8,0.444,0.842
000070,1,0,0,15,1.0,1.0,1.0
000091,1,0,2,29,1.0,0.333,0.938
000103,1,0,3,34,1.0,0.25,0.921
000125,4,0,1,28,1.0,0.8,0.97
000134,5,2,0,22,0.714,1.0,0.931
000155,5,0,8,25,1.0,0.385,0.789
000160,5,2,9,35,0.714,0.357,0.784
000214,7,3,14,36,0.7,0.333,0.717
000215,4,2,5,41,0.667,0.444,0.865
000217,7,0,7,28,1.0,0.5,0.833
000219,6,2,7,15,0.75,0.462,0.7
000220,4,1,7,37,0.8,0.364,0.837
000234,6,1,8,33,0.857,0.429,0.812
000239,3,1,4,14,0.75,0.429,0.773
000242,3,1,7,21,0.75,0.3,0.75
000249,2,1,9,17,0.667,0.182,0.655
000256,5,1,13,34,0.833,0.278,0.736
000266,3,0,15,40,1.0,0.167,0.741
000272,2,1,6,50,0.667,0.25,0.881
000302,2,0,1,28,1.0,0.667,0.968
000314,6,0,8,12,1.0,0.429,0.692
000321,4,3,6,12,0.571,0.4,0.64
000329,5,1,2,33,0.833,0.714,0.927
000333,9,2,4,10,0.818,0.692,0.76
000334,2,1,1,33,0.667,0.667,0.946
000341,7,0,2,10,1.0,0.778,0.895
000342,5,1,5,8,0.833,0.5,0.684
000351,7,0,1,13,1.0,0.875,0.952
000352,4,1,12,11,0.8,0.25,0.536
000360,2,1,3,27,0.667,0.4,0.879
000361,4,2,8,18,0.667,0.333,0.688
000393,5,2,5,17,0.714,0.5,0.759
000400,6,1,6,27,0.857,0.5,0.825
000410,8,7,13,12,0.533,0.381,0.5
000420,3,3,5,30,0.5,0.375,0.805
000425,3,2,3,5,0.6,0.5,0.615
000426,5,3,6,21,0.625,0.455,0.743
000438,5,1,6,12,0.833,0.455,0.708
000445,5,0,3,49,1.0,0.625,0.947
000451,4,1,1,17,0.8,0.8,0.913
000486,5,2,3,28,0.714,0.625,0.868
000488,2,0,0,11,1.0,1.0,1.0
000509,2,0,5,13,1.0,0.286,0.75
000520,3,0,4,11,1.0,0.429,0.778
000535,4,3,15,15,0.571,0.211,0.514
000537,5,0,3,9,1.0,0.625,0.824
000545,5,0,10,33,1.0,0.333,0.792
000564,3,4,4,18,0.429,0.429,0.724
000573,2,0,4,21,1.0,0.333,0.852
000607,1,0,0,5,1.0,1.0,1.0
000608,2,3,4,9,0.4,0.333,0.611
000620,3,0,11,44,1.0,0.214,0.81
000621,7,0,0,19,1.0,1.0,1.0
000622,3,4,5,8,0.429,0.375,0.55
000632,3,1,1,30,0.75,0.75,0.943
000656,4,2,0,14,0.667,1.0,0.9
000669,2,3,11,14,0.4,0.154,0.533
000676,4,1,2,32,0.8,0.667,0.923
000680,4,1,3,24,0.8,0.571,0.875
000681,3,3,12,5,0.5,0.2,0.348
000688,1,1,2,13,0.5,0.333,0.824
000705,4,1,5,21,0.8,0.444,0.806
000712,4,2,5,24,0.667,0.444,0.8
000713,5,3,7,21,0.625,0.417,0.722
000719,5,1,11,28,0.833,0.312,0.733
000736,4,0,7,18,1.0,0.364,0.759
000767,3,0,0,20,1.0,1.0,1.0
000788,4,0,2,19,1.0,0.667,0.92
000816,6,2,14,26,0.75,0.3,0.667
000817,2,1,1,10,0.667,0.667,0.857
000828,5,1,11,21,0.833,0.312,0.684
000846,13,1,4,8,0.929,0.765,0.808
000851,2,3,8,19,0.4,0.2,0.656
000853,2,0,9,30,1.0,0.182,0.78
000861,4,5,11,22,0.444,0.267,0.619
000872,12,6,11,10,0.667,0.522,0.564
000881,4,1,6,34,0.8,0.4,0.844
000892,3,0,0,19,1.0,1.0,1.0
000904,4,0,5,8,1.0,0.444,0.706
000908,3,1,14,21,0.75,0.176,0.615
000914,8,0,4,6,1.0,0.667,0.778
000921,1,0,0,14,1.0,1.0,1.0
000948,1,2,2,29,0.333,0.333,0.882
000952,6,1,7,17,0.857,0.462,0.742
000965,5,0,2,17,1.0,0.714,0.917
000972,5,3,11,29,0.625,0.312,0.708
000975,2,2,5,20,0.5,0.286,0.759
000986,9,1,11,17,0.9,0.45,0.684
000989,2,2,8,16,0.5,0.2,0.643
000992,4,3,10,5,0.571,0.286,0.409
000993,7,0,16,11,1.0,0.304,0.529
000997,1,3,4,9,0.25,0.2,0.588
001009,4,2,16,23,0.667,0.2,0.6
001014,10,7,6,21,0.588,0.625,0.705
