image_id,tp,fp,fn,tn,precision,recall,accuracy
000004,4,1,19,19,0.8,0.174,0.535
000005,5,1,2,8,0.833,0.714,0.812
000008,1,0,2,34,1.0,0.333,0.946
000010,3,3,2,46,0.5,0.6,0.907
000029,6,1,10,27,0.857,0.375,0.75
000039,3,2,3,8,0.6,0.5,0.688
000044,3,1,1,45,0.75,0.75,0.96
000045,4,0,6,29,1.0,0.4,0.846
000049,2,2,2,25,0.5,0.5,0.871
000052,2,0,8,15,1.0,0.2,0.68
000075,6,4,2,23,0.6,0.75,0.829
000077,6,0,15,19,1.0,0.286,0.625
000094,3,2,2,10,0.6,0.6,0.765
000101,2,2,3,20,0.5,0.4,0.815
000108,5,0,3,29,1.0,0.625,0.919
000111,4,1,4,10,0.8,0.5,0.737
000126,2,0,0,55,1.0,1.0,1.0
000131,8,2,6,20,0.8,0.571,0.778
000136,0,1,1,14,0.0,0.0,0.875
000139,6,3,17,46,0.667,0.261,0.722
000141,1,2,0,15,0.333,1.0,0.889
000142,7,3,17,26,0.7,0.292,0.623
000143,3,0,1,10,1.0,0.75,0.929
000150,3,3,8,31,0.5,0.273,0.756
000161,6,1,6,24,0.857,0.5,0.811
000163,11,1,10,5,0.917,0.524,0.593
000164,3,0,9,27,1.0,0.25,0.769
000168,3,1,1,17,0.75,0.75,0.909
000175,3,4,20,29,0.429,0.13,0.571
000180,2,0,2,7,1.0,0.5,0.818
000190,2,1,3,6,0.667,0.4,0.667
000192,7,2,8,26,0.778,0.467,0.767
000222,4,0,1,13,1.0,0.8,0.944
000240,3,0,3,24,1.0,0.5,0.9
000245,7,2,3,14,0.778,0.7,0.808
000271,4,4,5,27,0.5,0.444,0.775
000273,1,0,0,30,1.0,1.0,1.0
000274,5,1,6,42,0.833,0.455,0.87
000276,3,0,11,30,1.0,0.214,0.75
000289,3,0,2,18,1.0,0.6,0.913
000305,5,3,4,8,0.625,0.556,0.65
000320,3,1,5,18,0.75,0.375,0.778
000332,3,0,4,22,1.0,0.429,0.862
000338,1,0,0,5,1.0,1.0,1.0
000364,10,2,6,10,0.833,0.625,0.714
000367,7,0,3,34,1.0,0.7,0.932
000380,1,4,14,8,0.2,0.067,0.333
000416,2,1,6,13,0.667,0.25,0.682
000421,3,1,0,14,0.75,1.0,0.944
000444,3,1,3,16,0.75,0.5,0.826
000459,3,2,2,16,0.6,0.6,0.826
000476,2,0,8,26,1.0,0.2,0.778
000482,3,3,7,14,0.5,0.3,0.63
000492,1,0,1,6,1.0,0.5,0.875
000514,2,1,3,20,0.667,0.4,0.846
000562,1,1,2,11,0.5,0.333,0.8
000576,2,0,3,15,1.0,0.4,0.85
000584,14,2,13,11,0.875,0.519,0.625
000588,2,1,3,15,0.667,0.4,0.81
000645,4,0,5,22,1.0,0.444,0.839
000658,7,0,6,27,1.0,0.538,0.85
000661,3,2,2,30,0.6,0.6,0.892
000663,1,3,0,18,0.25,1.0,0.864
000671,4,1,25,6,0.8,0.138,0.278
000685,4,1,4,12,0.8,0.5,0.762
000686,1,0,0,11,1.0,1.0,1.0
000690,3,2,2,17,0.6,0.6,0.833
000693,3,0,2,10,1.0,0.6,0.867
000726,6,1,4,20,0.857,0.6,0.839
000737,5,1,6,19,0.833,0.455,0.774
000751,3,1,3,13,0.75,0.5,0.8
000764,1,0,1,8,1.0,0.5,0.9
000776,1,1,1,33,0.5,0.5,0.944
000782,2,2,8,12,0.5,0.2,0.583
000811,11,1,8,13,0.917,0.579,0.727
000820,2,1,2,23,0.667,0.5,0.893
000825,5,0,2,8,1.0,0.714,0.867
000857,3,1,4,8,0.75,0.429,0.688
000876,3,2,1,5,0.6,0.75,0.727
000877,1,0,5,16,1.0,0.167,0.773
000879,4,0,2,17,1.0,0.667,0.913
000884,8,3,3,18,0.727,0.727,0.812
000887,1,0,1,13,1.0,0.5,0.933
000912,5,1,5,22,0.833,0.5,0.818
000920,2,3,16,23,0.4,0.111,0.568
000940,10,4,22,14,0.714,0.312,0.48
000949,2,1,0,19,0.667,1.0,0.955
000953,2,2,3,16,0.5,0.4,0.783
000970,2,2,11,15,0.5,0.154,0.567
000977,5,1,6,8,0.833,0.455,0.65
000987,6,1,3,19,0.857,0.667,0.862
001007,1,0,0,4,1.0,1.0,1.0
001026,4,0,8,21,1.0,0.333,0.758
001059,3,0,11,19,1.0,0.214,0.667
001064,3,1,0,13,0.75,1.0,0.941
001068,7,2,6,7,0.778,0.538,0.636
001073,2,0,1,31,1.0,0.667,0.971
001111,5,0,8,18,1.0,0.385,0.742
001124,10,2,4,10,0.833,0.714,0.769
001135,7,1,7,14,0.875,0.5,0.724
001143,7,0,10,15,1.0,0.412,0.688
001147,6,0,4,17,1.0,0.6,0.852
001149,3,2,4,13,0.6,0.429,0.727
001152,7,0,4,26,1.0,0.636,0.892
001161,9,4,11,10,0.692,0.45,0.559
001174,1,1,12,18,0.5,0.077,0.594
001179,3,0,6,29,1.0,0.333,0.842
001180,3,0,0,11,1.0,1.0,1.0
001183,3,0,7,15,1.0,0.3,0.72
001192,3,3,11,7,0.5,0.214,0.417
001205,4,4,10,42,0.5,0.286,0.767
001224,2,0,3,16,1.0,0.4,0.857
001228,4,0,0,12,1.0,1.0,1.0
001236,8,0,1,31,1.0,0.889,0.975
001243,6,1,2,15,0.857,0.75,0.875
001259,6,0,2,16,1.0,0.75,0.917
001265,4,0,3,17,1.0,0.571,0.875
001267,8,4,17,10,0.667,0.32,0.462
001270,2,1,0,14,0.667,1.0,0.941
001274,5,0,14,14,1.0,0.263,0.576
001300,2,0,11,15,1.0,0.154,0.607
001330,1,0,3,16,1.0,0.25,0.85
001333,6,2,4,21,0.75,0.6,0.818
001334,9,3,4,14,0.75,0.692,0.767
001351,1,0,0,18,1.0,1.0,1.0
001371,5,5,10,7,0.5,0.333,0.444
001373,4,4,4,12,0.5,0.5,0.667
001382,5,1,5,30,0.833,0.5,0.854
001384,3,1,4,10,0.75,0.429,0.722
001388,4,0,3,17,1.0,0.571,0.875
001397,2,3,2,19,0.4,0.5,0.808
001410,3,3,1,15,0.5,0.75,0.818
001413,3,0,0,10,1.0,1.0,1.0
001419,6,2,6,38,0.75,0.5,0.846
001426,4,0,1,9,1.0,0.8,0.929
001439,2,0,0,13,1.0,1.0,1.0
001443,2,2,10,15,0.5,0.167,0.586
001445,5,1,7,13,0.833,0.417,0.692
001457,2,0,0,15,1.0,1.0,1.0
001463,2,2,2,9,0.5,0.5,0.733
001467,3,1,3,12,0.75,0.5,0.789
001474,1,0,1,8,1.0,0.5,0.9
001476,2,0,0,31,1.0,1.0,1.0
001483,9,2,13,14,0.818,0.409,0.605
001491,1,0,0,15,1.0,1.0,1.0
001502,1,1,5,6,0.5,0.167,0.538
001505,3,0,1,18,1.0,0.75,0.955
001524,5,2,1,36,0.714,0.833,0.932
001542,2,0,4,8,1.0,0.333,0.714
001565,7,0,1,16,1.0,0.875,0.958
001623,4,3,7,8,0.571,0.364,0.545
001627,6,0,12,15,1.0,0.333,0.636
001630,2,0,0,9,1.0,1.0,1.0
001634,5,1,5,4,0.833,0.5,0.6
001635,1,0,0,9,1.0,1.0,1.0
001654,1,0,1,6,1.0,0.5,0.875
001656,4,1,3,9,0.8,0.571,0.765
001702,2,0,0,6,1.0,1.0,1.0
001719,2,2,2,35,0.5,0.5,0.902
001727,3,0,2,24,1.0,0.6,0.931
001732,3,1,5,29,0.75,0.375,0.842
001749,0,1,2,56,0.0,0.0,0.949
001756,2,1,3,2,0.667,0.4,0.5
001762,3,0,13,24,1.0,0.188,0.675
001767,1,0,1,35,1.0,0.5,0.973
001791,2,0,0,20,1.0,1.0,1.0
001809,4,1,6,18,0.8,0.4,0.759
001817,1,1,2,72,0.5,0.333,0.961
001822,2,0,2,10,1.0,0.5,0.857
001828,3,0,1,9,1.0,0.75,0.923
001829,9,0,2,12,1.0,0.818,0.913
001836,2,0,1,16,1.0,0.667,0.947
001841,0,1,3,47,0.0,0.0,0.922
001856,6,2,5,14,0.75,0.545,0.741
001862,6,0,5,15,1.0,0.545,0.808
001874,9,3,8,14,0.75,0.529,0.676
001887,3,0,7,13,1.0,0.3,0.696
001890,9,1,4,16,0.9,0.692,0.833
001895,1,0,0,11,1.0,1.0,1.0
001900,3,3,1,18,0.5,0.75,0.84
001912,1,0,3,16,1.0,0.25,0.85
001918,5,0,5,11,1.0,0.5,0.762
001939,2,2,0,4,0.5,1.0,0.75
001944,1,0,2,6,1.0,0.333,0.778
001960,1,0,6,31,1.0,0.143,0.842
001961,2,2,5,7,0.5,0.286,0.562
001966,6,2,13,16,0.75,0.316,0.595
001985,3,2,2,13,0.6,0.6,0.8
001994,10,4,5,14,0.714,0.667,0.727
001996,1,1,0,22,0.5,1.0,0.958
002009,4,1,1,13,0.8,0.8,0.895
002012,1,1,6,15,0.5,0.143,0.696
002021,3,1,0,16,0.75,1.0,0.95
002034,2,3,11,19,0.4,0.154,0.6
002049,4,2,11,6,0.667,0.267,0.435
002061,8,1,13,6,0.889,0.381,0.5
002064,0,1,0,33,0.0,1.0,0.971
002067,3,1,5,4,0.75,0.375,0.538
002075,1,0,0,16,1.0,1.0,1.0
002100,5,7,4,6,0.417,0.556,0.5
002119,4,1,9,34,0.8,0.308,0.792
002121,1,0,2,30,1.0,0.333,0.939
002129,4,2,9,19,0.667,0.308,0.676
002141,1,0,0,25,1.0,1.0,1.0
002143,3,1,10,19,0.75,0.231,0.667
002159,7,4,9,8,0.636,0.438,0.536
002170,2,0,3,18,1.0,0.4,0.87
002176,1,2,2,12,0.333,0.333,0.765
002202,3,3,7,9,0.5,0.3,0.545
002207,1,0,1,28,1.0,0.5,0.967
002218,2,2,6,10,0.5,0.25,0.6
002233,1,0,1,16,1.0,0.5,0.944
002241,4,0,3,11,1.0,0.571,0.833
002264,1,0,6,18,1.0,0.143,0.76
002269,3,1,1,16,0.75,0.75,0.905
