,image_id,time,country_code,weather,road_type,road_condition,time_of_day,num_vehicles,longitude,latitude,solar_angle_elevation
1,000001,1619520686.001497,0,2,0,0,0,22,21.043137452078366,52.249511324442636,51.72383270657507
2,000002,1618761859.891679,0,4,0,0,0,3,21.030445645106088,52.239373171498464,13.700386768090723
3,000003,1618761678.888716,0,4,0,0,0,1,21.017903112853105,52.237138923671104,14.164054874189546
4,000004,1618762577.33692,0,4,0,0,0,42,21.005466258102004,52.2286115617928,11.891281337810383
5,000005,1619702277.999021,0,4,0,0,0,40,21.02016397130492,52.21191661037278,40.51048789347493
6,000006,1619597311.883675,0,0,0,0,0,2,21.030382686787537,52.23933230277807,42.39840138693201
7,000007,1619693202.106043,0,4,0,0,0,16,20.988164355800656,52.210265254045716,52.451127266868866
8,000008,1619423870.776632,0,2,0,0,0,13,21.01732795038637,52.2368953210437,40.47360206843898
9,000009,1618761334.665995,0,4,0,0,0,14,21.012836356767004,52.23603534372466,15.021662194073386
10,000010,1618761302.782621,0,4,0,0,0,21,21.01048578693129,52.23557299973375,15.081412877115568
11,000011,1619512646.773083,0,2,0,0,0,38,21.085500229096013,52.24459867635114,45.35742870261661
12,000012,1618761906.225818,0,4,0,0,0,7,21.030544981854842,52.23943019080898,13.548252764014336
13,000013,1618486561.776342,0,6,0,1,0,10,20.992058528061428,52.24387136236378,46.1520429576821
14,000014,1618761478.885517,0,4,0,0,0,1,21.01578942147533,52.240712417292805,14.775813262193608
15,000015,1618826227.218111,0,2,0,0,0,24,20.981453285069602,52.253232421229136,48.50256960153061
16,000016,1619702895.776705,0,4,0,0,0,23,21.008923027371587,52.23473728854583,39.081725146451525
17,000017,1619696128.224242,0,4,0,0,0,23,21.021681799685943,52.17312310497391,50.625242027855734
18,000018,1618760862.108831,0,4,0,0,0,11,21.021194059953892,52.231419831423146,16.233728705245625
19,000019,1618653802.667175,0,4,0,1,0,6,20.9858791123351,52.26850734422118,47.99710348941085
20,000020,1618655050.554129,0,4,0,0,0,52,21.01548838219623,52.22311252491722,48.50787622144094
21,000021,1618491591.662875,0,6,0,1,0,0,21.020255997569194,52.23216027043012,38.94079874330568
22,000022,1619070227.218352,0,6,0,1,0,32,21.02117772352051,52.26335729544364,20.27132260693999
23,000023,1619632625.219581,0,1,0,0,1,18,21.007922951581268,52.23508070602112,-0.2196815017870506
24,000024,1618762048.661539,0,4,0,0,0,13,21.04392135930924,52.23733437030697,13.17782447994908
25,000025,1618761273.448765,0,4,0,0,0,18,21.008942301800758,52.234857581125596,15.22622602172261
26,000026,1618828032.781551,0,2,0,0,0,35,21.004044738734766,52.22404718723913,49.23174988652429
27,000027,1619683818.109947,0,4,0,0,0,37,21.11926851356302,52.237586411339635,42.96335792345698
28,000028,1619536088.885988,0,4,0,0,0,28,20.994066129478195,52.257978543846434,24.286147546500047
29,000029,1618760302.333213,0,4,0,0,0,17,21.01822220476941,52.22023943962796,17.655395250079252
30,000030,1618936288.223063,0,2,0,0,0,28,20.96529868270684,52.23714008083136,10.11786086216982
31,000031,1619681732.109598,0,4,0,0,0,17,20.942629961957742,52.23916593612567,38.45653061714751
32,000032,1618765588.888767,0,4,0,0,0,25,20.95091776901621,52.2291829733071,4.468712273806361
33,000033,1619428116.002817,0,2,0,0,0,34,21.01542331869136,52.223407921644835,47.92687742383367
34,000034,1619070233.884421,0,6,0,1,0,38,21.021355674685907,52.263308189464944,20.27132260693999
35,000035,1619683489.004472,0,4,0,0,0,17,21.083434558329902,52.24458811157459,42.22232154561747
36,000036,1619264664.330623,0,2,0,0,0,30,20.981663220485636,52.25437115094819,48.50438345612951
37,000037,1620139739.66793,0,4,0,0,0,27,21.007873049898816,52.235064468792544,28.707696432390584
38,000038,1619703521.554263,0,4,0,0,0,16,20.991649874287642,52.24445101678926,37.729607664042796
39,000039,1619596852.776303,0,0,0,0,0,34,21.003984666971135,52.23424072525668,41.490165346028036
40,000040,1619691941.217139,0,2,0,0,0,61,20.978567279705434,52.22185931721673,52.49035787051085
41,000041,1618469787.560484,0,7,0,1,0,9,21.008394946533897,52.22283164867884,28.92100908015813
42,000042,1618759272.883854,0,2,0,0,0,25,20.9565101115532,52.22771112742482,20.275948541505315
43,000043,1618494068.112195,0,6,0,1,0,14,21.038041148498007,52.26268432248709,33.77902590908969
44,000044,1618656025.003376,0,4,0,0,0,18,20.97812363058855,52.244410100078674,48.54761911459895
45,000045,1618399885.221029,0,6,0,1,0,15,20.989335335147583,52.21931305201232,46.10769531582177
46,000046,1618656216.773338,0,4,0,0,0,35,20.979635280108134,52.23730559931246,48.539388661289095
47,000047,1619702779.441241,0,4,0,0,0,25,21.0099014009274,52.233024802840276,39.31798032408522
48,000048,1620082144.115083,0,3,1,0,2,1,21.021428198011108,52.218431263988826,-21.44750656308929
49,000049,1619519992.223232,0,2,0,0,0,38,21.071192073111153,52.22466599059111,51.88384752995733
50,000050,1619702368.0006,0,4,0,0,0,24,21.015872892911265,52.21608968580066,40.255492169321684
51,000051,1619674722.111236,0,4,0,1,0,17,21.083758614047444,52.24465040351551,21.548019562993105
52,000052,1618941457.443449,0,3,0,0,1,17,21.054809252786757,52.23135470580458,-2.5367889519872193
53,000053,1619702918.110384,0,4,0,0,0,53,21.007508932066116,52.23710586085053,39.081725146451525
54,000054,1619598239.332328,0,0,0,0,0,10,20.99429118457244,52.257694328557164,44.12863208891661
55,000055,1618400143.225463,0,6,0,1,0,19,20.977003828289323,52.21111472530733,45.90704800413365
56,000056,1618654973.886152,0,4,0,1,0,33,21.013741876672427,52.22616169496975,48.476252151944415
57,000057,1619942106.105011,0,6,0,0,0,32,21.01261478041531,52.22986933923306,41.90578636024394
58,000058,1618654630.44719,0,4,0,1,0,48,21.00630717995946,52.23843225049468,48.38568478271044
59,000059,1619416257.772772,0,0,0,0,0,27,21.031962097998,52.20708580796004,22.469413832023704
60,000060,1619264456.22702,0,2,0,0,0,33,20.989473533093015,52.2468018431085,48.77367149999146
61,000061,1620140351.110147,0,4,0,0,0,15,21.02461241586986,52.23691920266226,27.138264232575466
62,000062,1618760289.999601,0,4,0,0,0,14,21.01831294761428,52.219988054984825,17.655395250079252
63,000063,1618828192.884347,0,2,0,0,0,14,21.004976108140145,52.216809898791865,49.252031820613965
64,000064,1618757815.662578,0,2,0,0,0,21,20.951729650615995,52.22703918400021,23.921036203898467
65,000065,1618829607.775581,0,2,0,0,0,12,20.982696855198423,52.25526799893788,49.08531013958546
66,000066,1619701925.892807,0,4,0,0,0,17,21.0230426990818,52.20524785192054,41.143793168401
67,000067,1619596931.110844,0,0,0,0,0,30,21.00729215111715,52.23493059700697,41.66614746813188
68,000068,1618936000.885187,0,4,0,0,0,33,20.943040194745013,52.23846658121842,10.887874130032358
69,000069,1619696254.559908,0,4,0,0,0,15,21.01307377003935,52.174311429371066,50.48036470134845
70,000070,1618759050.113785,0,2,0,0,0,13,20.937596448961095,52.2254238819427,20.894459768676015
71,000071,1619520328.328982,0,2,0,0,0,17,21.05399579789461,52.23463348276311,51.8278098020304
72,000072,1620115912.996989,0,4,0,0,0,24,20.99314312178566,52.24159911676331,44.37943263931537
