image_id,tp,fp,fn,tn,precision,recall,accuracy
000026,10,7,15,15,0.588,0.4,0.532
000062,4,3,8,25,0.571,0.333,0.725
000069,1,0,7,33,1.0,0.125,0.829
000078,6,1,5,37,0.857,0.545,0.878
000087,1,0,0,32,1.0,1.0,1.0
000105,3,1,3,26,0.75,0.5,0.879
000127,5,2,2,13,0.714,0.714,0.818
000140,4,2,5,12,0.667,0.444,0.696
000145,2,1,1,33,0.667,0.667,0.946
000182,6,0,6,10,1.0,0.5,0.727
000191,1,2,3,21,0.333,0.25,0.815
000199,6,2,9,21,0.75,0.4,0.711
000212,2,0,3,34,1.0,0.4,0.923
000261,1,0,2,26,1.0,0.333,0.931
000267,2,3,16,5,0.4,0.111,0.269
000270,10,3,4,7,0.769,0.714,0.708
000280,3,2,7,15,0.6,0.3,0.667
000294,2,0,2,35,1.0,0.5,0.949
000298,3,1,2,32,0.75,0.6,0.921
000303,4,1,2,28,0.8,0.667,0.914
000335,3,1,3,22,0.75,0.5,0.862
000343,1,0,0,37,1.0,1.0,1.0
000356,3,3,4,16,0.5,0.429,0.731
000383,7,1,6,25,0.875,0.538,0.821
000389,8,2,7,24,0.8,0.533,0.78
000390,4,2,5,36,0.667,0.444,0.851
000394,4,1,8,16,0.8,0.333,0.69
000403,2,0,3,14,1.0,0.4,0.842
000404,2,2,3,51,0.5,0.4,0.914
000407,3,2,6,42,0.6,0.333,0.849
000415,2,0,0,9,1.0,1.0,1.0
000429,5,4,5,29,0.556,0.5,0.791
000432,4,3,7,13,0.571,0.364,0.63
000440,1,0,0,39,1.0,1.0,1.0
000446,10,3,6,16,0.769,0.625,0.743
000456,5,2,8,14,0.714,0.385,0.655
000473,1,0,0,13,1.0,1.0,1.0
000489,2,0,4,15,1.0,0.333,0.81
000493,5,0,3,14,1.0,0.625,0.864
000498,2,0,5,9,1.0,0.286,0.688
000504,4,0,4,17,1.0,0.5,0.84
000511,4,0,2,14,1.0,0.667,0.9
000532,7,1,9,19,0.875,0.438,0.722
000544,5,0,11,18,1.0,0.312,0.676
000546,1,0,1,7,1.0,0.5,0.889
000552,3,1,1,14,0.75,0.75,0.895
000554,4,1,15,28,0.8,0.211,0.667
000574,3,1,11,17,0.75,0.214,0.625
000580,7,1,5,21,0.875,0.583,0.824
000589,5,0,10,13,1.0,0.333,0.643
000592,2,0,1,12,1.0,0.667,0.933
000605,3,1,4,12,0.75,0.429,0.75
000612,10,2,10,14,0.833,0.5,0.667
000613,2,1,4,22,0.667,0.333,0.828
000638,5,4,9,32,0.556,0.357,0.74
000642,5,0,5,32,1.0,0.5,0.881
000672,7,4,2,19,0.636,0.778,0.812
000674,0,3,4,23,0.0,0.0,0.767
000679,5,0,1,12,1.0,0.833,0.944
000696,5,1,5,27,0.833,0.5,0.842
000706,9,1,4,9,0.9,0.692,0.783
000720,2,0,13,6,1.0,0.133,0.381
000723,3,1,3,13,0.75,0.5,0.8
000725,3,0,0,11,1.0,1.0,1.0
000730,7,2,15,13,0.778,0.318,0.541
000762,3,0,6,15,1.0,0.333,0.75
000769,10,4,8,12,0.714,0.556,0.647
000792,1,0,2,10,1.0,0.333,0.846
000795,1,2,2,24,0.333,0.333,0.862
000797,6,3,3,31,0.667,0.667,0.86
000802,6,1,7,7,0.857,0.462,0.619
000804,3,1,2,26,0.75,0.6,0.906
000807,9,3,17,14,0.75,0.346,0.535
000819,4,0,6,16,1.0,0.4,0.769
000830,4,1,3,14,0.8,0.571,0.818
000858,5,1,1,8,0.833,0.833,0.867
000868,9,4,9,11,0.692,0.5,0.606
000875,8,1,11,12,0.889,0.421,0.625
000895,4,1,6,15,0.8,0.4,0.731
000903,3,2,4,27,0.6,0.429,0.833
000906,2,1,2,15,0.667,0.5,0.85
000913,0,2,2,8,0.0,0.0,0.667
000925,3,0,3,20,1.0,0.5,0.885
000929,2,1,5,24,0.667,0.286,0.812
000930,6,1,1,13,0.857,0.857,0.905
000931,2,1,1,34,0.667,0.667,0.947
000938,1,2,3,26,0.333,0.25,0.844
000950,2,0,2,24,1.0,0.5,0.929
000959,2,1,9,24,0.667,0.182,0.722
000969,6,1,9,26,0.857,0.4,0.762
000971,6,1,3,18,0.857,0.667,0.857
000995,5,0,0,4,1.0,1.0,1.0
001000,5,0,1,10,1.0,0.833,0.938
001004,6,1,8,25,0.857,0.429,0.775
001011,2,4,6,18,0.333,0.25,0.667
001012,4,0,2,25,1.0,0.667,0.935
001013,4,1,2,22,0.8,0.667,0.897
001023,4,2,6,29,0.667,0.4,0.805
001032,4,0,1,10,1.0,0.8,0.933
001033,5,2,4,23,0.714,0.556,0.824
001035,4,2,9,14,0.667,0.308,0.621
001054,4,1,5,17,0.8,0.444,0.778
001060,3,0,3,14,1.0,0.5,0.85
001063,7,1,11,10,0.875,0.389,0.586
001070,2,0,9,16,1.0,0.182,0.667
001072,3,1,3,27,0.75,0.5,0.882
001090,5,1,16,17,0.833,0.238,0.564
001105,7,0,6,18,1.0,0.538,0.806
001108,2,0,7,16,1.0,0.222,0.72
001109,5,0,3,14,1.0,0.625,0.864
001115,3,0,1,5,1.0,0.75,0.889
001187,5,1,5,17,0.833,0.5,0.786
001188,1,0,1,6,1.0,0.5,0.875
001197,7,4,7,17,0.636,0.5,0.686
001211,1,1,20,30,0.5,0.048,0.596
001213,6,3,12,6,0.667,0.333,0.444
001238,4,1,2,35,0.8,0.667,0.929
001249,7,2,3,18,0.778,0.7,0.833
001252,7,1,4,7,0.875,0.636,0.737
001256,4,1,2,16,0.8,0.667,0.87
001277,2,1,1,12,0.667,0.667,0.875
001285,9,1,12,14,0.9,0.429,0.639
001288,4,1,4,19,0.8,0.5,0.821
001294,2,0,4,15,1.0,0.333,0.81
001302,6,1,7,11,0.857,0.462,0.68
001320,3,1,7,26,0.75,0.3,0.784
001353,5,2,5,12,0.714,0.5,0.708
001376,2,0,0,13,1.0,1.0,1.0
001390,3,1,2,12,0.75,0.6,0.833
001399,7,1,7,10,0.875,0.5,0.68
001407,7,1,5,18,0.875,0.583,0.806
001409,7,3,17,16,0.7,0.292,0.535
001414,7,2,5,32,0.778,0.583,0.848
001429,3,0,1,28,1.0,0.75,0.969
001430,4,1,6,18,0.8,0.4,0.759
001432,5,3,1,22,0.625,0.833,0.871
001446,9,6,9,11,0.6,0.5,0.571
001462,2,0,0,9,1.0,1.0,1.0
001478,3,0,2,12,1.0,0.6,0.882
001486,1,0,3,9,1.0,0.25,0.769
001492,9,0,17,10,1.0,0.346,0.528
001523,3,0,0,11,1.0,1.0,1.0
001528,1,0,0,13,1.0,1.0,1.0
001557,4,1,15,22,0.8,0.211,0.619
001558,2,1,1,21,0.667,0.667,0.92
001567,6,0,5,12,1.0,0.545,0.783
001568,13,0,6,25,1.0,0.684,0.864
001572,4,0,6,26,1.0,0.4,0.833
001585,2,1,0,9,0.667,1.0,0.917
001591,1,0,0,16,1.0,1.0,1.0
001636,1,1,2,20,0.5,0.333,0.875
001640,6,5,9,17,0.545,0.4,0.622
001657,6,1,1,13,0.857,0.857,0.905
001659,5,0,4,21,1.0,0.556,0.867
