image_id,pred_obj,true_obj,iou,occolusion_ratio
000026,28623,38.0,0.5574,Medium
000026,28603,18.0,0.6614,Light
000026,28604,32.0,0.7535,Light
000026,28605,17.0,0.7196,Light
000026,28606,40.0,0.931,None
000026,28607,35.0,0.6406,Medium
000026,28608,28.0,0.5713,Medium
000026,28609,26.0,0.6481,Medium
000026,28611,20.0,0.7171,Light
000026,28613,15.0,0.5918,Medium
000026,28615,34.0,0.8519,Medium
000026,28617,38.0,0.6092,Medium
000026,28620,15.0,0.5886,Medium
000026,28621,31.0,0.6882,Light
000026,28622,24.0,0.5059,Heavy
000026,28624,27.0,0.6423,Medium
000026,28601,33.0,0.9364,None
000062,8182,18.0,0.9157,Light
000062,8183,16.0,0.9217,None
000062,8185,14.0,0.4369,Heavy
000062,8186,25.0,0.9425,Medium
000062,8187,20.0,0.1634,Light
000062,8188,20.0,0.1958,Light
000062,8184,19.0,0.9709,Light
000069,6258,37.0,0.7483,Light
000078,25911,25.0,0.9028,Light
000078,25912,23.0,0.9148,Light
000078,25913,46.0,0.9432,None
000078,25909,45.0,0.9361,None
000078,25910,27.0,0.9212,Light
000078,25915,40.0,0.6447,Medium
000078,25917,39.0,0.5011,Medium
000087,29420,30.0,0.7821,Light
000105,5537,13.0,0.7252,Medium
000105,5529,20.0,0.7863,Medium
000105,5530,14.0,0.6817,None
000105,5531,15.0,0.8964,None
000127,24470,11.0,0.8278,None
000127,24472,18.0,0.8547,None
000127,24468,13.0,0.8041,Medium
000127,24473,15.0,0.8158,None
000127,24471,14.0,0.7185,Light
000127,24469,17.0,0.9659,None
000127,24476,16.0,0.2085,None
000140,25838,11.0,0.9006,Light
000140,25843,19.0,0.5886,Medium
000140,25841,16.0,0.4509,Heavy
000140,25840,6.0,0.8496,Light
000140,25839,8.0,0.9024,None
000140,25837,13.0,0.9401,None
000145,22481,34.0,0.9327,Light
000145,22478,0.0,0.0,Light
000145,22479,32.0,0.8756,None
000182,28687,11.0,0.778,Medium
000182,28686,21.0,0.8737,None
000182,28688,15.0,0.9678,None
000182,28690,7.0,0.9571,None
000182,28689,9.0,0.8498,Medium
000182,28691,16.0,0.9681,None
000191,22363,16.0,0.2034,Undefined
000191,22360,17.0,0.7627,Light
000191,22362,22.0,0.7999,Medium
000199,17469,15.0,0.9217,None
000199,17468,16.0,0.9313,None
000199,17473,17.0,0.7059,Light
000199,17466,27.0,0.9397,None
000199,17470,36.0,0.7762,None
000199,17467,35.0,0.8473,None
000199,17472,34.0,0.5979,Medium
000199,17471,23.0,0.7138,Medium
000212,9385,36.0,0.931,None
000212,9386,31.0,0.7848,Light
000261,920,27.0,0.9045,None
000267,668,15.0,0.9305,None
000267,669,7.0,0.3255,VeryHeavy
000267,670,0.0,0.0,Light
000267,673,20.0,0.6078,VeryHeavy
000267,672,8.0,0.5439,Light
000270,15656,17.0,0.6772,Light
000270,15665,13.0,0.6235,Light
000270,15663,7.0,0.8858,Light
000270,15664,16.0,0.6704,Medium
000270,15647,9.0,0.9192,None
000270,15655,20.0,0.9368,None
000270,15648,12.0,0.9385,None
000270,15646,14.0,0.9175,None
000270,15649,10.0,0.9101,Light
000270,15650,11.0,0.357,None
000270,15652,8.0,0.825,Light
000270,15653,15.0,0.9644,Light
000270,15654,19.0,0.8724,Light
000280,30138,18.0,0.4216,Heavy
000280,30137,12.0,0.7706,None
000280,30136,14.0,0.6444,Light
000280,30135,20.0,0.9397,None
000280,30134,11.0,0.9544,None
000294,5027,36.0,0.8938,Light
000294,5026,38.0,0.8837,None
000298,10700,36.0,0.5907,Light
000298,10694,19.0,0.9049,None
000298,10698,34.0,0.7337,Light
000298,10695,20.0,0.95,None
000303,12038,17.0,0.9271,Light
000303,12039,25.0,0.9292,None
000303,12040,30.0,0.3309,Medium
000303,12041,16.0,0.6786,Medium
000303,12037,21.0,0.9169,None
000335,9340,12.0,0.8362,None
000335,9341,21.0,0.8388,Light
000335,9343,22.0,0.8383,Light
000335,9339,17.0,0.9137,None
000343,6601,35.0,0.7955,Light
000356,29692,21.0,0.9443,None
000356,29693,0.0,0.0,Light
000356,29694,14.0,0.6581,Light
000356,29695,16.0,0.7254,Light
000356,29696,15.0,0.6972,Light
000356,29698,20.0,0.9172,Light
000383,13578,32.0,0.91,None
000383,13579,22.0,0.9042,None
000383,13580,24.0,0.7722,Light
000383,13581,26.0,0.7007,Medium
000383,13577,18.0,0.9585,None
000383,13582,27.0,0.9497,None
000383,13585,30.0,0.4241,Light
000383,13576,17.0,0.9756,None
000389,24807,36.0,0.6382,Heavy
000389,24804,35.0,0.4455,Heavy
000389,24808,34.0,0.8234,None
000389,24809,28.0,0.5371,Heavy
000389,24806,18.0,0.4794,Heavy
000389,24803,23.0,0.874,Light
000389,24810,31.0,0.9205,Light
000389,24805,16.0,0.8433,Medium
000389,24811,15.0,0.9251,Light
000389,24812,38.0,0.5931,Heavy
000390,13747,43.0,0.942,None
000390,13748,36.0,0.9228,None
000390,13749,31.0,0.9583,None
000390,13750,26.0,0.6598,Light
000390,13751,42.0,0.442,Medium
000390,13752,37.0,0.7442,Medium
000394,13049,14.0,0.5523,Medium
000394,13048,26.0,0.7698,None
000394,13050,18.0,0.6473,Heavy
000394,13046,13.0,0.8695,Light
000394,13047,20.0,0.9107,None
000403,26338,10.0,0.7239,Medium
000403,26337,18.0,0.9109,None
000404,10664,36.0,0.4275,Light
000404,10663,37.0,0.8218,Light
000404,10660,29.0,0.9538,Light
000404,10661,49.0,0.006,None
000407,1930,45.0,0.6723,Medium
000407,1931,36.0,0.859,Light
000407,1933,38.0,0.6136,Light
000407,1934,50.0,0.4145,Medium
000407,1929,47.0,0.9438,None
000415,20023,8.0,0.8872,None
000415,20022,10.0,0.9067,None
000429,31532,39.0,0.8092,Light
000429,31534,38.0,0.9401,None
000429,31529,0.0,0.0,None
000429,31528,33.0,0.9388,None
000429,31527,0.0,0.0,None
000429,31526,22.0,0.9253,Light
000429,31525,32.0,0.9579,None
000429,31524,36.0,0.9131,None
000429,31530,31.0,0.7695,Heavy
000432,25831,19.0,0.9436,Light
000432,25832,20.0,0.8575,None
000432,25834,23.0,0.9081,None
000432,25835,11.0,0.2879,Light
000432,25833,13.0,0.8768,None
000432,25836,21.0,0.3757,Medium
000432,25830,15.0,0.8704,Light
000440,9211,32.0,0.8552,None
000446,28892,31.0,0.5468,Medium
000446,28895,25.0,0.8846,Light
000446,28896,16.0,0.7261,Light
000446,28897,23.0,0.6545,Light
000446,28898,12.0,0.8066,Light
000446,28901,17.0,0.8966,None
000446,28887,20.0,0.8549,Light
000446,28891,14.0,0.8435,Light
000446,28890,21.0,0.8861,Light
000446,28888,29.0,0.9271,Light
000446,28889,32.0,0.8635,None
000446,28894,18.0,0.9092,Light
000446,28893,27.0,0.9551,Light
000456,17086,11.0,0.9202,Light
000456,17091,16.0,0.8051,Heavy
000456,17089,22.0,0.4208,Heavy
