image_id,tp,fp,fn,tn,precision,recall,accuracy
000014,1,0,0,47,1.0,1.0,1.0
000034,9,1,3,22,0.9,0.75,0.886
000035,3,0,11,55,1.0,0.214,0.841
000057,2,1,0,10,0.667,1.0,0.923
000084,4,0,1,29,1.0,0.8,0.971
000090,1,1,2,2,0.5,0.333,0.5
000102,2,2,3,10,0.5,0.4,0.706
000107,2,0,2,28,1.0,0.5,0.938
000144,3,2,3,21,0.6,0.5,0.828
000159,5,1,5,9,0.833,0.5,0.7
000193,4,0,1,6,1.0,0.8,0.909
000197,0,1,0,50,0.0,1.0,0.98
000207,3,0,10,9,1.0,0.231,0.545
000231,3,2,9,17,0.6,0.25,0.645
000232,5,0,3,20,1.0,0.625,0.893
000241,3,0,3,18,1.0,0.5,0.875
000268,5,1,3,47,0.833,0.625,0.929
000284,3,1,13,23,0.75,0.188,0.65
000288,2,0,2,33,1.0,0.5,0.946
000291,5,0,6,9,1.0,0.455,0.7
000297,2,1,3,20,0.667,0.4,0.846
000300,4,0,2,19,1.0,0.667,0.92
000309,2,0,1,11,1.0,0.667,0.929
000315,3,2,7,4,0.6,0.3,0.438
000339,3,4,14,21,0.429,0.176,0.571
000368,6,0,2,21,1.0,0.75,0.931
000371,3,2,4,19,0.6,0.429,0.786
000373,4,3,2,5,0.571,0.667,0.643
000408,2,0,0,17,1.0,1.0,1.0
000412,2,3,9,18,0.4,0.182,0.625
000436,11,1,6,25,0.917,0.647,0.837
000442,5,0,10,16,1.0,0.333,0.677
000448,5,1,10,51,0.833,0.333,0.836
000464,6,1,2,16,0.857,0.75,0.88
000490,8,1,5,17,0.889,0.615,0.806
000516,3,3,12,18,0.5,0.2,0.583
000521,3,0,8,18,1.0,0.273,0.724
000540,9,0,5,21,1.0,0.643,0.857
000542,5,3,7,22,0.625,0.417,0.73
000558,5,3,18,27,0.625,0.217,0.604
000559,3,0,0,7,1.0,1.0,1.0
000566,7,1,5,24,0.875,0.583,0.838
000581,5,5,7,6,0.5,0.417,0.478
000585,2,1,2,13,0.667,0.5,0.833
000587,4,0,3,21,1.0,0.571,0.893
000591,4,1,0,22,0.8,1.0,0.963
000606,6,0,5,22,1.0,0.545,0.848
000611,2,0,0,26,1.0,1.0,1.0
000614,5,0,1,45,1.0,0.833,0.98
000623,5,1,10,18,0.833,0.333,0.676
000624,5,0,3,24,1.0,0.625,0.906
000630,8,3,8,11,0.727,0.5,0.633
000667,2,1,5,8,0.667,0.286,0.625
000699,6,1,3,21,0.857,0.667,0.871
000700,6,0,9,23,1.0,0.4,0.763
000711,1,0,1,6,1.0,0.5,0.875
000717,3,1,2,38,0.75,0.6,0.932
000722,1,3,1,5,0.25,0.5,0.6
000735,2,0,4,31,1.0,0.333,0.892
