,image_id,tp,fp,fn,precision,recall
0,034219,1,0,7,1.0,0.125
1,027642,2,4,26,0.333,0.071
2,010306,4,8,40,0.333,0.091
3,012364,1,1,10,0.5,0.091
4,000442,3,13,49,0.187,0.058
5,020176,3,11,18,0.214,0.143
6,025479,2,6,17,0.25,0.105
7,026622,1,3,13,0.25,0.071
8,009416,7,5,19,0.583,0.269
9,029990,2,1,9,0.667,0.182
10,038895,8,5,19,0.615,0.296
11,005602,5,2,6,0.714,0.455
12,024082,4,1,9,0.8,0.308
13,010636,3,2,4,0.6,0.429
14,010638,3,4,13,0.429,0.187
15,002085,1,0,18,1.0,0.053
16,016558,1,4,15,0.2,0.062
17,031552,3,1,3,0.75,0.5
18,008220,3,7,19,0.3,0.136
19,025830,12,8,28,0.6,0.3
20,006860,3,2,18,0.6,0.143
21,003917,2,3,19,0.4,0.095
22,000201,0,1,6,0.0,0.0
23,032803,8,11,36,0.421,0.182
24,018958,1,0,6,1.0,0.143
25,049346,3,2,5,0.6,0.375
26,031496,3,5,15,0.375,0.167
27,016398,6,5,10,0.545,0.375
28,047718,6,21,42,0.222,0.125
29,024896,7,6,46,0.538,0.132
30,039054,5,8,36,0.385,0.122
31,015882,5,10,28,0.333,0.152
32,048936,4,0,13,1.0,0.235
33,028683,7,1,17,0.875,0.292
34,014945,5,4,15,0.556,0.25
35,006440,4,2,32,0.667,0.111
36,044237,6,3,12,0.667,0.333
37,006447,2,3,15,0.4,0.118
38,048229,5,3,15,0.625,0.25
39,014303,6,7,42,0.462,0.125
40,038676,0,1,14,0.0,0.0
41,046652,3,2,9,0.6,0.25
42,040520,4,4,17,0.5,0.19
43,013272,3,2,12,0.6,0.2
44,047848,2,1,16,0.667,0.111
45,044892,2,0,3,1.0,0.4
46,015103,3,5,25,0.375,0.107
47,031387,1,1,4,0.5,0.2
48,032622,1,2,16,0.333,0.059
49,049560,2,3,12,0.4,0.143
50,015255,3,3,20,0.5,0.13
51,018791,8,3,16,0.727,0.333
52,022408,1,1,13,0.5,0.071
53,048854,1,0,5,1.0,0.167
54,034856,0,1,2,0.0,0.0
55,006161,2,2,21,0.5,0.087
56,009977,2,0,10,1.0,0.167
57,015359,8,5,31,0.615,0.205
58,018001,6,3,9,0.667,0.4
59,013713,2,1,10,0.667,0.167
60,027371,1,5,23,0.167,0.042
61,010022,6,11,38,0.353,0.136
62,015373,3,7,20,0.3,0.13
63,039576,3,1,8,0.75,0.273
64,012258,8,5,18,0.615,0.308
65,031446,5,1,33,0.833,0.132
66,029064,11,4,13,0.733,0.458
67,046873,1,4,7,0.2,0.125
68,023831,1,0,2,1.0,0.333
69,019117,3,1,6,0.75,0.333
70,018326,3,9,15,0.25,0.167
71,016610,1,4,11,0.2,0.083
72,015632,8,5,9,0.615,0.471
73,013288,1,4,6,0.2,0.143
74,016678,3,2,11,0.6,0.214
75,008486,0,2,14,0.0,0.0
76,037279,0,2,9,0.0,0.0
77,037186,4,5,12,0.444,0.25
78,031295,1,0,2,1.0,0.333
79,047114,6,4,31,0.6,0.162
80,022570,5,6,21,0.455,0.192
81,024286,3,0,3,1.0,0.5
82,041054,0,2,3,0.0,0.0
83,042050,0,1,5,0.0,0.0
84,036067,5,11,32,0.312,0.135
85,007368,5,7,19,0.417,0.208
86,019456,1,0,5,1.0,0.167
87,009806,2,4,12,0.333,0.143
88,005705,4,4,11,0.5,0.267
89,032276,1,1,25,0.5,0.038
90,017730,4,6,20,0.4,0.167
91,007111,2,8,12,0.2,0.143
92,045452,0,1,25,0.0,0.0
93,002243,7,13,25,0.35,0.219
94,020269,3,6,35,0.333,0.079
95,032671,7,9,21,0.437,0.25
96,043979,2,2,31,0.5,0.061
97,028785,4,10,23,0.286,0.148
98,033891,6,3,13,0.667,0.316
99,038810,1,0,3,1.0,0.25
100,045783,5,7,41,0.417,0.109
101,018389,7,7,45,0.5,0.135
102,029094,2,1,6,0.667,0.25
103,041694,1,1,16,0.5,0.059
104,021965,5,1,15,0.833,0.25
105,030451,2,0,7,1.0,0.222
106,032632,9,3,14,0.75,0.391
107,031574,4,1,6,0.8,0.4
108,031213,2,2,12,0.5,0.143
109,010436,1,8,31,0.111,0.031
110,030834,1,1,4,0.5,0.2
111,026453,3,3,10,0.5,0.231
112,042933,0,1,4,0.0,0.0
113,002586,4,2,32,0.667,0.111
114,043293,2,5,20,0.286,0.091
115,016000,5,1,8,0.833,0.385
116,018354,2,0,7,1.0,0.222
117,041884,3,5,43,0.375,0.065
118,042368,6,6,27,0.5,0.182
119,015727,3,1,19,0.75,0.136
120,003132,1,4,16,0.2,0.059
121,010709,3,2,16,0.6,0.158
122,037837,4,4,30,0.5,0.118
123,046963,2,0,1,1.0,0.667
124,046063,6,7,16,0.462,0.273
125,029906,9,4,11,0.692,0.45
126,009342,3,4,14,0.429,0.176
127,010806,3,6,15,0.333,0.167
128,006874,3,2,11,0.6,0.214
129,018228,4,10,35,0.286,0.103
130,031553,2,7,55,0.222,0.035
131,021668,1,0,11,1.0,0.083
132,045423,0,2,20,0.0,0.0
133,002345,1,4,8,0.2,0.111
134,008446,1,5,12,0.167,0.077
135,010701,1,4,6,0.2,0.143
136,045479,1,0,9,1.0,0.1
137,033959,5,4,10,0.556,0.333
138,006198,4,8,40,0.333,0.091
139,036092,1,2,8,0.333,0.111
140,002778,6,9,30,0.4,0.167
141,024289,4,8,26,0.333,0.133
142,037275,1,2,9,0.333,0.1
143,008902,3,1,16,0.75,0.158
144,006246,5,4,7,0.556,0.417
145,011044,7,10,30,0.412,0.189
146,047829,2,0,1,1.0,0.667
147,039616,5,4,10,0.556,0.333
148,003606,5,1,10,0.833,0.333
149,035066,1,1,19,0.5,0.05
150,024013,4,8,32,0.333,0.111
151,032083,5,3,27,0.625,0.156
152,024152,5,3,10,0.625,0.333
153,031144,1,4,31,0.2,0.031
154,016367,3,7,17,0.3,0.15
155,010051,1,5,28,0.167,0.034
156,006896,6,1,11,0.857,0.353
157,020505,14,6,27,0.7,0.341
158,013787,0,2,7,0.0,0.0
159,005858,0,1,16,0.0,0.0
160,048876,8,5,17,0.615,0.32
161,032380,6,0,5,1.0,0.545
162,046115,1,0,4,1.0,0.2
163,014746,1,3,22,0.25,0.043
