,image_id,pose_x,pose_y,pose_yaw,pose_pitch,pose_roll,speed_var,mean_jerk,max_jerk,st_jerk,mean_angular_acc,max_angular_acc,st_angular_acc,mean_lateral_acc,max_lateral_acc,st_lateral_acc
11,000011,-0.004441288513575318,0.0014158814556052383,0.0010848341241041887,-0.00028969187167531533,3.0381878705665047e-05,2.0902170240638204e-06,0.0014006466262311943,0.14045737024791766,0.035112325294418656,-0.033961133219637056,1.0306029950104405,0.4946023678297104,-3.63804224010423e-05,0.0005855047513646675,0.0003285659081698257
14,000014,10.415809947630008,0.0073814484677869364,0.008297947991484695,0.009331894381049694,-0.006393621370886486,0.008531161671060845,0.05579929953361134,0.8589629114436532,0.36440031232338616,0.033176109773060986,3.3494423091005827,1.1693408829125636,-0.0020957641259698404,0.08306481398554495,0.056977738420649474
34,000034,7.311756604829886,-0.015272727787644406,0.1635048683781744,0.0009690688047572061,-0.005045406615353893,0.005098566761792836,0.09211137387985713,3.985211184455583,0.605332509742119,0.11025439351122558,3.4377146093178776,0.8868540287003445,-0.1742841463006832,-0.08188546859763,0.06915328300611163
35,000035,32.756402825098874,0.08348552645809489,-0.00868178092057054,0.009683433898114857,0.020101809448239177,0.1458888067381142,0.2374912607313323,22.35258043539246,7.814080249074105,0.7619519878541502,75.70476316701267,24.441469532316496,0.6952090835944552,6.078443774421978,3.259320309558962
57,000057,52.17869939451896,-0.505802096061805,0.11139337125902976,0.013664035401027308,-0.016785431345159068,0.02349306010877997,-0.20917220545245022,7.475838679789024,2.2364957326076853,0.24110408984373666,25.60167452956112,6.973815544053143,40.155184935926265,52.49707293776771,7.133425250770912
84,000084,-0.00034045365175506826,0.0028294242646353237,0.001546395173542101,-0.00015970944457219133,-1.8203962162316097e-06,1.6406625423561082e-07,-0.030383376540205315,0.7864146536931587,0.36436551370431924,-0.019138677942536406,1.089167387257166,0.49172801697179686,-0.00010899240199009523,2.959344794254194e-05,9.628861331298597e-05
90,000090,99.50123015922593,0.12280665054066282,-0.07480896387394699,-0.0015234298879911027,0.0004985200897082788,9.696330194555704e-05,0.12119497304999192,5.248668897527941,1.9597818292994225,0.4264298105305949,10.341485578001459,4.584157961014489,-2.1610187138323127,18.096594263510056,8.761892025001266
102,000102,86.4207974714131,-0.459093070394961,-0.02153972278151138,0.011536199736994901,-0.00013101524167927496,0.25708707658872565,0.09411625713607238,8.474275129648074,2.909386375953182,0.2669322423838002,18.618323433043276,5.83453872261122,4.502154565805332,10.737301813831015,2.8789137959432445
107,000107,14.625748062151692,0.1960451174424822,-0.26214721203487107,-0.04306570382719678,-0.005321049369308185,1.0043764192383817,-0.04017079635034932,13.984439713935323,4.732328801964831,-0.23892477155902883,27.88963744028453,11.124786993124673,38.45951569753608,59.38269018212154,12.68746744429627
144,000144,54.697708718940234,-0.7185842168831582,0.004141963510319443,0.013169628778383706,-0.0006360128938079859,0.2077479923278237,-0.16589427724231046,4.341554699429022,2.202161954051196,0.18126081716219705,14.439627658728948,4.221700411686502,27.071685545307677,57.69583252300705,22.042268416655126
147,000147,69.05383219558594,-0.2777176233607758,-0.0027557301207876616,0.00353427907809959,-0.001011700261225957,0.0016300997839886692,-0.3044058633948365,5.683764293167397,2.5038392766621116,-0.46335104468166,49.6168882964788,11.569472007118076,0.961503772817905,4.0086304488189155,2.0338150490461397
159,000159,6.207022232455251,0.022069642008724223,0.00019914750999858397,-0.008254337390872484,0.0018100855347165312,0.0745206011882813,0.23827069165472153,3.6137239398779397,0.8020830008632205,0.01580313824279623,4.120610284451894,1.448515085127006,-0.006806672910673698,0.1520223518677549,0.045579062638830575
