,image_id,pose_x,pose_y,pose_yaw,pose_pitch,pose_roll,speed_var,mean_jerk,max_jerk,st_jerk,mean_angular_acc,max_angular_acc,st_angular_acc,mean_lateral_acc,max_lateral_acc,st_lateral_acc
2,000002,0.0047442455024605595,-0.03142684752790056,0.0009245429950200109,0.00010701687211639456,0.00023186180542650512,1.0667005239564428e-07,0.00013997422028859968,0.3300148271557998,0.09098076173108266,0.018831043920231473,1.1857451968589987,0.5203362116474116,-2.6487806823950643e-05,0.00021224433561059457,9.344653522596015e-05
19,000019,41.85188243142986,0.1631159832935966,0.7299547544587482,-0.007237493587293515,0.015984271324379778,0.06384302887959005,0.1150150045354194,13.791800915391256,3.6729918247094355,0.13087373253270604,22.133500503042573,9.336743866533496,-64.95654700553236,-50.06310081538133,5.200921782173127
28,000028,72.66954033394966,0.4626175642306738,0.027525263982781274,-0.011547610448541124,0.013513586564983153,0.021164509934583985,-0.41828958542365335,28.253307336051314,7.395948995329362,-2.4328577091030765,60.80800994897655,23.641264845902818,-15.616639153850175,1.3930381229756026,12.201107160020456
30,000030,45.803465625632505,-0.1978074470051973,0.05310930738301852,0.011708585451124489,-0.0002157911641465178,0.20340198380579644,0.08356449282773645,9.882846828681242,3.70061472744124,0.29679537048541615,31.665542565140438,10.393553975460948,4.534889300494499,17.239851889756014,9.167493631157132
31,000031,50.803995276971726,-0.2760488970321628,-0.0010234680821254267,-0.001742156046521325,0.005434790046207225,0.11402683702161226,0.060130570621723195,2.982548389879864,1.0455215804179767,0.09436203491714738,12.329328193130893,3.292689673523357,-0.4896790350628039,1.51643216372701,1.4461365134235389
56,000056,48.787245436856686,0.19169810553902744,0.09883046551145516,-0.01239654527671897,-0.00018691831396215616,0.8242408254127143,0.6676576107115452,10.270218511447878,2.6548936915462176,0.6162822263529132,21.379378001271718,7.1735073472297115,-33.37119600807657,32.67916929811384,31.26447534543525
59,000059,1.4690449451419192,0.005254222089881476,0.008556504474295663,0.005011918192012051,0.00023011637211280676,0.00893196259893484,0.03685629368995598,7.831744603834314,1.3325145653583401,0.0582397637463369,6.613262396361656,1.7326896654901447,-0.00569400185111641,0.0008313283507105652,0.014495671211083628
67,000067,0.007860455044753184,0.006573292584438989,-0.0004142586235758517,3.051776445407836e-05,-5.8307953559303054e-05,1.268422439053633e-07,0.00396133142499909,1.1794090542113602,0.20500912974008284,-0.0015954923004939657,1.1499002275442884,0.4917600555205026,-4.778435905600853e-06,0.0002145361253003215,0.0001394382599174172
71,000071,53.99087429563607,-0.08556466069418608,-0.03051867551334069,0.005056587983707092,-0.011318778975959919,0.5154869719565013,-0.35421810582012336,4.2063711310161045,2.899112874003403,-0.2576797530397515,19.098139663241934,6.1444068263634914,-4.738942752309887,-0.008253495159603622,3.4707830681427274
72,000072,72.15940972021652,-0.052105799631842,0.10181189602939107,0.0032314020924824366,-0.008755197309368206,0.00016840588180716415,-0.13383148666774147,15.302295937052744,4.047042150215584,-1.6151050508872633,15.868046424721538,9.383956921371507,-16.63918590162523,5.376700217429283,19.527498112739735
82,000082,16.595434151824744,-0.06328665017745046,-0.41003542694650114,-0.0008641199908575488,0.008981794677807265,0.22588917454813667,0.3373401347333977,5.532083132313123,2.176554504445452,0.7843713863381447,12.918866708777783,7.5825629239734935,30.806105000721075,60.711573879255845,12.246075577398512
88,000088,17.72587818745328,0.015553361128523544,0.08250716839295852,0.002095594720427238,-0.0026357517832532274,0.04931772978055348,0.0877544096746779,2.405789971567483,0.7009306669133958,0.40390050811233286,5.178569497836133,1.6447879528977238,-3.2412362938216672,-0.2604593297927573,2.0875990859192957
98,000098,0.9186957294416198,0.027554886956635178,-0.005780224042018495,-0.004532804648932482,0.0005476537820880322,8.563955348921008e-07,0.004253525074709376,0.4878836605182533,0.14770334051024878,0.00730493091880914,4.844205596102764,0.8468633104629301,-0.0003451578158704027,0.0006682571004153669,0.000493433604228909
104,000104,2.1149476579176962,0.029346898485298308,-0.0017873504895701046,-0.001594489226842831,0.00036224312769066766,0.0065771352872585,0.06724391373541384,3.5091268995085567,0.722965726644255,0.07617882178374948,4.0705045437384975,1.2123166921063884,0.002287657045703219,0.026801111089216584,0.00759798057859558
