image_id,tp,fp,fn,tn,precision,recall,accuracy
000001,3,3,5,34,0.5,0.375,0.822
000020,8,1,24,22,0.889,0.25,0.545
000060,4,0,6,15,1.0,0.4,0.76
000065,4,0,2,35,1.0,0.667,0.951
000074,5,2,5,30,0.714,0.5,0.833
000081,1,1,3,14,0.5,0.25,0.789
000083,3,1,6,47,0.75,0.333,0.877
000093,3,2,3,16,0.6,0.5,0.792
000095,3,0,4,21,1.0,0.429,0.857
000119,2,0,2,20,1.0,0.5,0.917
000124,2,4,3,15,0.333,0.4,0.708
000165,6,2,7,13,0.75,0.462,0.679
000184,2,1,1,5,0.667,0.667,0.778
000187,3,0,1,29,1.0,0.75,0.97
000198,3,0,4,19,1.0,0.429,0.846
000202,6,0,6,15,1.0,0.5,0.778
000205,5,2,5,17,0.714,0.5,0.759
000218,4,2,8,6,0.667,0.333,0.5
000221,2,1,2,26,0.667,0.5,0.903
000228,1,2,4,37,0.333,0.2,0.864
000230,6,2,11,12,0.75,0.353,0.581
000275,1,0,6,12,1.0,0.143,0.684
000277,3,1,3,15,0.75,0.5,0.818
000278,7,2,11,24,0.778,0.389,0.705
000286,4,1,1,5,0.8,0.8,0.818
000292,1,2,6,11,0.333,0.143,0.6
000293,6,1,10,32,0.857,0.375,0.776
000301,1,0,4,6,1.0,0.2,0.636
000307,3,0,5,15,1.0,0.375,0.783
000312,3,1,4,18,0.75,0.429,0.808
000316,3,0,1,22,1.0,0.75,0.962
000323,3,2,4,33,0.6,0.429,0.857
000324,3,1,7,9,0.75,0.3,0.6
000336,4,0,7,21,1.0,0.364,0.781
000350,4,0,1,10,1.0,0.8,0.933
000376,3,1,2,18,0.75,0.6,0.875
000381,7,0,0,12,1.0,1.0,1.0
000382,6,0,1,15,1.0,0.857,0.955
000392,1,0,0,13,1.0,1.0,1.0
000417,1,0,3,8,1.0,0.25,0.75
000424,7,1,5,39,0.875,0.583,0.885
000430,3,1,2,37,0.75,0.6,0.93
000454,3,0,0,14,1.0,1.0,1.0
000461,4,5,6,16,0.444,0.4,0.645
000470,7,0,1,9,1.0,0.875,0.941
000477,3,0,0,5,1.0,1.0,1.0
000480,2,0,4,23,1.0,0.333,0.862
000485,8,5,9,10,0.615,0.471,0.562
000501,5,0,2,19,1.0,0.714,0.923
000506,7,3,8,15,0.7,0.467,0.667
000508,1,2,6,6,0.333,0.143,0.467
000517,7,0,8,7,1.0,0.467,0.636
000578,3,1,4,26,0.75,0.429,0.853
000582,14,1,6,10,0.933,0.7,0.774
000602,2,2,3,25,0.5,0.4,0.844
000619,3,2,3,17,0.6,0.5,0.8
000629,6,1,2,23,0.857,0.75,0.906
000640,6,1,3,34,0.857,0.667,0.909
000648,4,2,3,14,0.667,0.571,0.783
000659,1,3,3,8,0.25,0.25,0.6
000666,1,0,0,37,1.0,1.0,1.0
000682,4,2,7,30,0.667,0.364,0.791
000683,2,0,2,25,1.0,0.5,0.931
000684,5,1,2,6,0.833,0.714,0.786
000697,8,2,7,16,0.8,0.533,0.727
000708,6,2,3,10,0.75,0.667,0.762
000715,1,1,4,29,0.5,0.2,0.857
000743,6,2,4,12,0.75,0.6,0.75
000746,3,1,3,19,0.75,0.5,0.846
000754,3,0,12,12,1.0,0.2,0.556
000757,5,1,13,10,0.833,0.278,0.517
000761,9,1,9,15,0.9,0.5,0.706
000772,1,4,5,23,0.2,0.167,0.727
000781,10,4,11,16,0.714,0.476,0.634
000786,1,1,0,21,0.5,1.0,0.957
000787,9,2,6,10,0.818,0.6,0.704
000791,3,0,3,12,1.0,0.5,0.833
000793,10,4,17,7,0.714,0.37,0.447
000799,1,0,0,12,1.0,1.0,1.0
000806,5,3,9,44,0.625,0.357,0.803
000812,4,0,3,11,1.0,0.571,0.833
000813,3,0,1,6,1.0,0.75,0.9
000826,4,3,6,21,0.571,0.4,0.735
000833,11,3,7,17,0.786,0.611,0.737
000836,1,0,8,19,1.0,0.111,0.714
000840,6,2,2,15,0.75,0.75,0.84
000845,2,1,1,20,0.667,0.667,0.917
000856,1,3,1,29,0.25,0.5,0.882
000859,1,0,0,11,1.0,1.0,1.0
000867,4,2,10,10,0.667,0.286,0.538
000869,1,1,0,8,0.5,1.0,0.9
000897,2,0,0,18,1.0,1.0,1.0
000917,1,2,7,18,0.333,0.125,0.679
000926,2,1,1,19,0.667,0.667,0.913
000946,5,0,17,20,1.0,0.227,0.595
000956,4,3,9,22,0.571,0.308,0.684
001019,3,3,5,17,0.5,0.375,0.714
001029,2,0,3,19,1.0,0.4,0.875
001042,4,0,5,18,1.0,0.444,0.815
001044,4,0,5,24,1.0,0.444,0.848
001045,3,1,7,20,0.75,0.3,0.742
001053,4,1,5,10,0.8,0.444,0.7
001055,4,1,3,6,0.8,0.571,0.714
001080,2,3,6,23,0.4,0.25,0.735
001082,2,1,0,14,0.667,1.0,0.941
001086,6,0,2,14,1.0,0.75,0.909
001094,2,0,0,18,1.0,1.0,1.0
001122,2,0,3,10,1.0,0.4,0.8
001123,6,1,2,9,0.857,0.75,0.833
001125,2,1,9,13,0.667,0.182,0.6
001127,5,1,22,6,0.833,0.185,0.324
001128,7,1,2,19,0.875,0.778,0.897
001129,7,0,5,38,1.0,0.583,0.9
001145,2,0,2,18,1.0,0.5,0.909
001153,3,0,1,27,1.0,0.75,0.968
001165,4,1,4,18,0.8,0.5,0.815
001166,5,0,0,31,1.0,1.0,1.0
001167,4,2,5,7,0.667,0.444,0.611
001168,3,0,5,21,1.0,0.375,0.828
001191,5,1,3,34,0.833,0.625,0.907
001193,2,1,7,24,0.667,0.222,0.765
001200,4,2,1,5,0.667,0.8,0.75
001204,2,1,1,19,0.667,0.667,0.913
001212,6,1,7,21,0.857,0.462,0.771
001214,2,2,4,13,0.5,0.333,0.714
001222,5,1,1,9,0.833,0.833,0.875
001225,3,0,1,2,1.0,0.75,0.833
001231,3,1,5,8,0.75,0.375,0.647
001253,7,3,18,18,0.7,0.28,0.543
001255,4,4,9,7,0.5,0.308,0.458
001271,3,5,2,8,0.375,0.6,0.611
001272,10,3,12,11,0.769,0.455,0.583
001276,3,1,1,20,0.75,0.75,0.92
001279,1,2,6,13,0.333,0.143,0.636
001286,5,4,19,12,0.556,0.208,0.425
001293,1,1,1,5,0.5,0.5,0.75
001299,2,2,4,13,0.5,0.333,0.714
001311,2,0,1,20,1.0,0.667,0.957
001328,2,5,16,15,0.286,0.111,0.447
001342,2,0,0,9,1.0,1.0,1.0
001352,7,2,7,19,0.778,0.5,0.743
001360,2,0,7,18,1.0,0.222,0.741
001375,3,3,4,9,0.5,0.429,0.632
001378,1,0,6,32,1.0,0.143,0.846
001380,7,1,12,16,0.875,0.368,0.639
001386,2,1,3,8,0.667,0.4,0.714
001396,7,0,32,50,1.0,0.179,0.64
001401,13,6,27,9,0.684,0.325,0.4
001420,5,3,14,8,0.625,0.263,0.433
001427,2,0,1,5,1.0,0.667,0.875
001436,1,1,0,18,0.5,1.0,0.95
001447,2,2,2,8,0.5,0.5,0.714
001454,8,2,8,22,0.8,0.5,0.75
001504,3,2,4,52,0.6,0.429,0.902
001508,4,0,3,17,1.0,0.571,0.875
001535,4,0,3,7,1.0,0.571,0.786
001547,8,1,1,25,0.889,0.889,0.943
001562,9,1,8,16,0.9,0.529,0.735
001584,2,1,1,22,0.667,0.667,0.923
001586,11,2,14,12,0.846,0.44,0.59
001587,2,0,0,12,1.0,1.0,1.0
001588,3,1,2,16,0.75,0.6,0.864
001599,0,1,1,7,0.0,0.0,0.778
001612,1,2,7,12,0.333,0.125,0.591
001618,7,1,18,26,0.875,0.28,0.635
001620,5,0,5,33,1.0,0.5,0.884
001633,5,0,11,12,1.0,0.312,0.607
001642,0,2,4,10,0.0,0.0,0.625
001644,3,1,8,14,0.75,0.273,0.654
001668,4,1,5,23,0.8,0.444,0.818
001685,12,1,10,33,0.923,0.545,0.804
001699,5,1,2,10,0.833,0.714,0.833
001718,1,0,1,8,1.0,0.5,0.9
001723,3,1,3,6,0.75,0.5,0.692
001726,2,1,1,7,0.667,0.667,0.818
001728,1,1,2,22,0.5,0.333,0.885
001735,3,2,0,13,0.6,1.0,0.889
001736,6,1,20,10,0.857,0.231,0.432
001742,6,0,8,26,1.0,0.429,0.8
001744,5,1,5,25,0.833,0.5,0.833
001751,1,0,0,7,1.0,1.0,1.0
001759,2,1,0,13,0.667,1.0,0.938
001761,4,1,18,20,0.8,0.182,0.558
001777,5,2,10,21,0.714,0.333,0.684
001780,4,1,3,11,0.8,0.571,0.789
001806,4,2,6,12,0.667,0.4,0.667
001807,4,3,5,26,0.571,0.444,0.789
001808,1,1,0,10,0.5,1.0,0.917
001810,1,0,8,12,1.0,0.111,0.619
001815,0,1,3,21,0.0,0.0,0.84
001816,5,5,33,14,0.5,0.132,0.333
001830,2,0,0,12,1.0,1.0,1.0
001833,3,0,7,13,1.0,0.3,0.696
001842,1,0,0,5,1.0,1.0,1.0
001848,6,1,3,10,0.857,0.667,0.8
001849,5,3,9,10,0.625,0.357,0.556
001850,3,0,1,14,1.0,0.75,0.944
001857,10,0,13,12,1.0,0.435,0.629
001868,5,2,4,14,0.714,0.556,0.76
001880,0,1,3,9,0.0,0.0,0.692
001889,2,0,0,9,1.0,1.0,1.0
001892,0,2,0,9,0.0,1.0,0.818
001893,4,2,13,10,0.667,0.235,0.483
001909,4,0,6,21,1.0,0.4,0.806
